Fermenter:;;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter03;Fermenter03;Fermenter03;Fermenter03;Fermenter03;Fermenter03;
Sensor:;;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-3;BDCU-3;BDCU-3;BDCU-3;BDCU-3;BDCU-3;
Channel:;;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH1-NO;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;
Unit:;;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;
Id:;;25;26;27;28;29;30;31;19;20;21;22;23;24;32;33;34;35;51;52;
Serial:;;890;890;890;890;890;890;890;883;883;883;883;883;883;894;894;894;894;894;894;
UTC;LocalTime;
2026-02-10 21:24:47;2026-02-10 13:24:47;0.03691;20.89682;1.00482;0.03691;20.89682;1.00482;;1.00597;0.15004;20.75012;1.00597;0.15004;20.75012;1.15365;32.88625;26.90394;1.00437;0.08067;21.97954;
2026-02-10 21:24:52;2026-02-10 13:24:52;0.04539;20.85976;1.00488;0.04539;20.85976;1.00488;;1.08907;33.57442;25.57412;1.00597;0.15145;20.74723;1.00436;0.08215;21.97606;1.00436;0.08215;21.97606;
2026-02-10 21:24:57;2026-02-10 13:24:57;0.04539;20.85976;1.00488;0.04539;20.85976;1.00488;;1.08907;33.57442;25.57412;1.00597;0.15145;20.74723;1.00436;0.08215;21.97606;1.00436;0.08215;21.97606;
2026-02-10 21:25:02;2026-02-10 13:25:02;0.05322;20.84318;1.00483;0.05322;20.84318;1.00483;;1.09311;33.63852;25.56077;1.00595;0.15316;20.7478;1.15365;32.92439;26.90394;1.00439;0.08285;21.97442;
2026-02-10 21:25:07;2026-02-10 13:25:07;0.05322;20.84318;1.00483;0.05322;20.84318;1.00483;;1.09311;33.63852;25.56077;1.00595;0.15316;20.7478;1.15365;32.92439;26.90394;1.00439;0.08285;21.97442;
2026-02-10 21:25:12;2026-02-10 13:25:12;0.06146;20.82105;0.91308;27.70581;25.92393;1.00489;;1.09692;33.75753;25.57412;1.00594;0.1542;20.74875;1.156;32.87403;26.93065;1.00437;0.08401;21.97444;
2026-02-10 21:25:17;2026-02-10 13:25:17;0.06146;20.82105;0.91308;27.70581;25.92393;1.00489;;1.09692;33.75753;25.57412;1.00594;0.1542;20.74875;1.156;32.87403;26.93065;1.00437;0.08401;21.97444;
2026-02-10 21:25:22;2026-02-10 13:25:22;0.07019;20.81052;0.94641;28.69917;25.89723;1.00488;;1.09995;33.87198;25.58747;1.00595;0.15541;20.74622;1.156;32.87403;26.93065;1.00437;0.08401;21.97444;
2026-02-10 21:25:27;2026-02-10 13:25:27;0.07019;20.81052;0.94641;28.69917;25.89723;1.00488;;1.09995;33.87198;25.58747;1.00595;0.15541;20.74622;1.156;32.87403;26.93065;1.00437;0.08401;21.97444;
2026-02-10 21:25:32;2026-02-10 13:25:32;0.07727;20.80463;1.0049;0.07727;20.80463;1.0049;;1.00598;0.15764;20.74383;1.00598;0.15764;20.74383;1.15787;33.00679;26.90394;1.00431;0.08621;21.97476;
2026-02-10 21:25:37;2026-02-10 13:25:37;0.07727;20.80463;1.0049;0.07727;20.80463;1.0049;;1.00598;0.15764;20.74383;1.00598;0.15764;20.74383;1.15787;33.00679;26.90394;1.00431;0.08621;21.97476;
2026-02-10 21:25:42;2026-02-10 13:25:42;0.08384;20.79804;1.00492;0.08384;20.79804;1.00492;;1.10584;34.0322;25.56077;1.00598;0.15983;20.74037;1.15783;32.96864;26.93065;1.00435;0.0867;21.97304;
2026-02-10 21:25:47;2026-02-10 13:25:47;0.08384;20.79804;1.00492;0.08384;20.79804;1.00492;;1.10584;34.0322;25.56077;1.00598;0.15983;20.74037;1.15783;32.96864;26.93065;1.00435;0.0867;21.97304;
2026-02-10 21:25:52;2026-02-10 13:25:52;0.08893;20.79706;1.01306;30.56229;25.91058;1.00486;;1.10695;34.11307;25.60349;1.00598;0.16052;20.74074;1.00437;0.08799;21.97241;1.00437;0.08799;21.97241;
2026-02-10 21:25:57;2026-02-10 13:25:57;0.08893;20.79706;1.01306;30.56229;25.91058;1.00486;;1.10695;34.11307;25.60349;1.00598;0.16052;20.74074;1.00437;0.08799;21.97241;1.00437;0.08799;21.97241;
2026-02-10 21:26:02;2026-02-10 13:26:02;0.09271;20.79364;1.00487;0.09271;20.79364;1.00487;;1.1126;34.19699;25.58747;1.00598;0.16307;20.74048;1.00437;0.08856;21.97191;1.00437;0.08856;21.97191;
2026-02-10 21:26:07;2026-02-10 13:26:07;0.09271;20.79364;1.00487;0.09271;20.79364;1.00487;;1.1126;34.19699;25.58747;1.00598;0.16307;20.74048;1.00437;0.08856;21.97191;1.00437;0.08856;21.97191;
2026-02-10 21:26:12;2026-02-10 13:26:12;0.09932;20.79187;1.00486;0.09932;20.79187;1.00486;;1.00593;0.16445;20.7415;1.00593;0.16445;20.7415;1.15837;33.03426;26.9173;1.00437;0.08997;21.96742;
2026-02-10 21:26:17;2026-02-10 13:26:17;0.09932;20.79187;1.00486;0.09932;20.79187;1.00486;;1.00593;0.16445;20.7415;1.00593;0.16445;20.7415;1.15837;33.03426;26.9173;1.00437;0.08997;21.96742;
2026-02-10 21:26:22;2026-02-10 13:26:22;0.1039;20.79016;1.05404;31.74792;25.92393;1.00488;;1.11521;34.36026;25.58747;1.00596;0.16566;20.74132;1.00439;0.09029;21.96691;1.00439;0.09029;21.96691;
2026-02-10 21:26:27;2026-02-10 13:26:27;0.1039;20.79016;1.05404;31.74792;25.92393;1.00488;;1.11521;34.36026;25.58747;1.00596;0.16566;20.74132;1.00439;0.09029;21.96691;1.00439;0.09029;21.96691;
2026-02-10 21:26:32;2026-02-10 13:26:32;0.10712;20.79088;1.00491;0.10712;20.79088;1.00491;;1.00599;0.16641;20.73896;1.00599;0.16641;20.73896;1.16427;33.04799;26.90394;1.0044;0.0914;21.96544;
2026-02-10 21:26:37;2026-02-10 13:26:37;0.10712;20.79088;1.00491;0.10712;20.79088;1.00491;;1.00599;0.16641;20.73896;1.00599;0.16641;20.73896;1.16427;33.04799;26.90394;1.0044;0.0914;21.96544;
2026-02-10 21:26:42;2026-02-10 13:26:42;0.11131;20.79158;1.00489;0.11131;20.79158;1.00489;;1.00593;0.16674;20.73976;1.00593;0.16674;20.73976;1.00437;0.0923;21.96337;1.00437;0.0923;21.96337;
2026-02-10 21:26:47;2026-02-10 13:26:47;0.11131;20.79158;1.00489;0.11131;20.79158;1.00489;;1.00593;0.16674;20.73976;1.00593;0.16674;20.73976;1.00437;0.0923;21.96337;1.00437;0.0923;21.96337;
2026-02-10 21:26:52;2026-02-10 13:26:52;0.11313;20.79172;1.0826;32.69398;25.95331;1.00486;;1.12403;34.52201;25.57412;1.00593;0.16756;20.73904;1.16447;33.11513;26.90394;1.00433;0.09373;21.96135;
2026-02-10 21:26:57;2026-02-10 13:26:57;0.11313;20.79172;1.0826;32.69398;25.95331;1.00486;;1.12403;34.52201;25.57412;1.00593;0.16756;20.73904;1.16447;33.11513;26.90394;1.00433;0.09373;21.96135;
2026-02-10 21:27:02;2026-02-10 13:27:02;0.11313;20.79172;1.0826;32.69398;25.95331;1.00486;;1.12639;34.67155;25.58747;1.00595;0.16892;20.73839;1.16404;33.15786;26.93065;1.00437;0.09444;21.95989;
2026-02-10 21:27:07;2026-02-10 13:27:07;0.11313;20.79172;1.0826;32.69398;25.95331;1.00486;;1.12639;34.67155;25.58747;1.00595;0.16892;20.73839;1.16404;33.15786;26.93065;1.00437;0.09444;21.95989;
2026-02-10 21:27:12;2026-02-10 13:27:12;0.11943;20.79442;1.09668;33.06935;25.92393;1.00481;;1.12837;34.72648;25.61685;1.00599;0.17011;20.73653;1.00435;0.09566;21.95916;1.00435;0.09566;21.95916;
2026-02-10 21:27:17;2026-02-10 13:27:17;0.11943;20.79442;1.09668;33.06935;25.92393;1.00481;;1.12837;34.72648;25.61685;1.00599;0.17011;20.73653;1.00435;0.09566;21.95916;1.00435;0.09566;21.95916;
2026-02-10 21:27:22;2026-02-10 13:27:22;0.12196;20.79438;1.00477;0.12196;20.79438;1.00477;;1.1313;34.77378;25.61685;1.00594;0.17134;20.73613;1.16645;33.22499;26.90394;1.00431;0.09587;21.9596;
2026-02-10 21:27:27;2026-02-10 13:27:27;0.12196;20.79438;1.00477;0.12196;20.79438;1.00477;;1.1313;34.77378;25.61685;1.00594;0.17134;20.73613;1.16645;33.22499;26.90394;1.00431;0.09587;21.9596;
2026-02-10 21:27:32;2026-02-10 13:27:32;0.12398;20.79407;1.00488;0.12398;20.79407;1.00488;;1.13462;34.83635;25.60349;1.006;0.17186;20.7341;1.1664;33.22652;26.93065;1.00434;0.09699;21.96096;
2026-02-10 21:27:37;2026-02-10 13:27:37;0.12398;20.79407;1.00488;0.12398;20.79407;1.00488;;1.13462;34.83635;25.60349;1.006;0.17186;20.7341;1.1664;33.22652;26.93065;1.00434;0.09699;21.96096;
2026-02-10 21:27:42;2026-02-10 13:27:42;0.12526;20.79161;1.00491;0.12526;20.79161;1.00491;;1.13566;34.90959;25.58747;1.00602;0.17245;20.7313;1.1664;33.22652;26.93065;1.00434;0.09699;21.96096;
2026-02-10 21:27:47;2026-02-10 13:27:47;0.12526;20.79161;1.00491;0.12526;20.79161;1.00491;;1.13566;34.90959;25.58747;1.00602;0.17245;20.7313;1.1664;33.22652;26.93065;1.00434;0.09699;21.96096;
2026-02-10 21:27:52;2026-02-10 13:27:52;0.12757;20.79218;1.11815;33.67819;25.92393;1.00479;;1.00593;0.17385;20.73028;1.00593;0.17385;20.73028;1.16737;33.23873;26.9173;1.00427;0.09739;21.96329;
2026-02-10 21:27:57;2026-02-10 13:27:57;0.12757;20.79218;1.11815;33.67819;25.92393;1.00479;;1.00593;0.17385;20.73028;1.00593;0.17385;20.73028;1.16737;33.23873;26.9173;1.00427;0.09739;21.96329;
2026-02-10 21:28:02;2026-02-10 13:28:02;0.12858;20.79312;1.117;33.78347;25.95331;1.00476;;1.00592;0.17472;20.73107;1.00592;0.17472;20.73107;1.1693;33.28145;26.94667;1.00426;0.0976;21.96311;
