Metabolite name,PPI_Ylip_Ctrl_24hr_13,PPI_Ylip_Ctrl_24hr_25,PPI_Ylip_Ctrl_24hr_37,PPI_Ylip_Ctrl_3hr_07,PPI_Ylip_Ctrl_3hr_19,PPI_Ylip_Ctrl_3hr_31,PPI_Ylip_Ctrl_48hr_15,PPI_Ylip_Ctrl_48hr_27,PPI_Ylip_Ctrl_48hr_39,PPI_Ylip_Ctrl_4hr_09,PPI_Ylip_Ctrl_4hr_21,PPI_Ylip_Ctrl_4hr_33,PPI_Ylip_Ctrl_5hr_11,PPI_Ylip_Ctrl_5hr_23,PPI_Ylip_Ctrl_5hr_35,PPI_Ylip_Ctrl_72hr_17,PPI_Ylip_Ctrl_72hr_29,PPI_Ylip_Ctrl_72hr_41,PPI_Ylip_Low_24hr_38,PPI_Ylip_Low_24hr_46,PPI_Ylip_Low_24hr_52,PPI_Ylip_Low_3hr_32,PPI_Ylip_Low_3hr_43,PPI_Ylip_Low_3hr_49,PPI_Ylip_Low_48hr_40,PPI_Ylip_Low_48hr_47,PPI_Ylip_Low_48hr_53,PPI_Ylip_Low_4hr_34,PPI_Ylip_Low_4hr_44,PPI_Ylip_Low_4hr_50,PPI_Ylip_Low_5hr_36,PPI_Ylip_Low_5hr_45,PPI_Ylip_Low_5hr_51,PPI_Ylip_Low_72hr_42,PPI_Ylip_Low_72hr_48,PPI_Ylip_Low_72hr_54,PPI_Ylip_Osc_24hr_04,PPI_Ylip_Osc_24hr_14,PPI_Ylip_Osc_24hr_26,PPI_Ylip_Osc_3hr_01,PPI_Ylip_Osc_3hr_08,PPI_Ylip_Osc_3hr_20,PPI_Ylip_Osc_47hr_05,PPI_Ylip_Osc_48hr_16,PPI_Ylip_Osc_48hr_28,PPI_Ylip_Osc_4hr_02,PPI_Ylip_Osc_4hr_10,PPI_Ylip_Osc_4hr_22,PPI_Ylip_Osc_5hr_03,PPI_Ylip_Osc_5hr_12,PPI_Ylip_Osc_5hr_24,PPI_Ylip_Osc_72hr_06,PPI_Ylip_Osc_72hr_18,PPI_Ylip_Osc_72hr_30
HexCer 35:1;4O_Neg,20.56355631,20.3775324,20.49070118,19.05133846,18.57682224,18.79756276,20.85080906,20.88732725,20.90636386,19.00273274,18.97175147,19.33383276,19.18527749,18.54693055,19.7193646,21.03584094,21.13197896,20.93148378,18.00381779,18.11715502,18.5384579,19.28360418,19.21788239,19.34296419,17.27516748,17.05242824,18.47962578,18.68486449,18.96901334,18.81844786,19.40056151,18.97360519,18.77564825,17.71504299,18.28075824,17.76957481,20.99177171,20.77296066,20.45841973,18.82283367,18.74704433,18.87573633,21.57254607,21.36242807,20.89036885,18.95894775,19.93694485,18.58043903,18.78713335,19.29083438,18.92530084,21.71843153,20.78741541,21.3212388
HexCer 35:1;4O|HexCer 19:1;3O/16:0;(2OH)_Neg,22.64015914,22.37462168,22.44368216,20.87901275,20.48500403,20.74617216,22.86022007,22.68711946,22.33168522,20.81953776,21.0795059,20.81069043,20.98215529,20.29564186,21.02743647,22.66969779,22.64342442,22.96081203,20.19874005,20.08563365,20.5505635,20.90694537,21.26192767,21.06342653,19.69027336,19.49405825,20.54591377,20.37859386,21.11163904,20.42658183,20.86922996,21.16287051,21.04538685,19.72248323,19.97226589,20.00131031,22.95597869,22.78772131,21.84508039,20.83146974,20.36501242,20.64353684,23.0146399,22.95254949,22.56727747,20.43845524,21.9973838,20.72344865,20.47849031,21.26741436,20.6520007,23.24823907,22.43186161,22.66172179
HexCer 35:2;3O|HexCer 19:2;2O/16:0;O_#_Neg,27.90949052,27.91551429,28.11501192,27.4280267,26.78984384,27.19291449,28.33457069,28.5286641,28.0759942,27.18339391,27.21124766,27.81948446,27.55062997,27.51929472,27.6969943,28.23326133,28.40625962,28.42897266,26.56106145,25.99842792,26.37771298,27.51664423,27.65654408,27.74426636,25.93734987,25.47621216,26.08529442,27.48172991,27.3085563,27.1390757,27.53951253,27.12108132,27.68569036,25.80679085,26.07448451,26.19184911,28.00806064,27.87436549,27.52376255,27.27394946,26.70474221,27.31418631,28.22674872,28.30817739,27.44347353,27.39932651,28.39777953,27.42223449,27.2612362,27.41578972,27.48119652,28.65236977,28.31311269,28.39251966
HexCer 35:2;3O|HexCer 19:2;2O/16:0;O_Neg,25.85817817,25.94808057,25.99434543,25.44166201,24.70015771,25.13884972,26.42343824,26.46702331,26.00264278,25.11997385,25.31153361,25.8482071,25.54906404,25.39495206,25.62044463,26.19239713,26.41336294,26.42416654,24.46490981,23.76819038,24.24589176,25.56475491,25.63451189,25.75062409,23.75234056,23.17368018,24.0382744,25.36328671,25.22626279,25.06162664,25.44810738,25.19091233,25.66160941,23.42827487,23.83751486,24.03208074,26.07363612,25.87171127,25.51674253,25.21270508,24.69207455,25.37905874,26.13025642,26.14317845,25.45338523,25.41356124,26.48836527,25.36586344,25.19848051,25.48827337,25.4547238,26.79414929,26.20002927,26.2236964
HexCer 37:5;3O|HexCer 19:3;2O/18:2;O_Neg,18.03607435,18.49682306,18.51744843,18.81199598,18.87142425,18.56538147,20.53820732,21.00883305,18.13024334,19.23693418,16.78815261,18.88614764,18.02593431,17.495264,19.03454067,17.88226633,20.23894527,20.1511614,17.97550945,17.30434473,17.04023817,19.17117179,17.96367622,20.20830308,17.56944309,16.72791426,15.19778487,15.56818404,17.32346817,17.97134862,17.92397914,18.55518367,18.25633009,16.10675239,18.60977903,16.22155138,20.58475801,19.82576685,18.05113893,18.90662045,17.81137973,19.4066017,19.61235245,19.28094824,18.6699942,18.1655411,20.92230897,17.83636141,17.49425399,18.37156473,18.67657058,20.20548691,19.76283997,19.0857056
HexCer 40:1;3O|HexCer 18:1;2O/22:0;O_Neg,15.22264512,15.51544651,16.28196108,13.93495671,12.4058857,13.66458887,16.32619536,17.24621902,14.2374901,13.23593552,15.32030259,15.52839069,15.85504903,15.25404361,13.07473854,16.46970351,17.25750151,17.21830888,14.43051742,14.87396048,16.09440783,15.28671546,15.84392428,15.28915853,14.05343969,14.16430279,17.0080776,14.72188673,NA,13.96971313,14.2701307,14.84900946,14.74343861,13.52385069,16.2923598,16.27865726,17.40535167,16.2695674,15.85421986,12.4855319,14.14011539,16.20631892,17.77638686,16.04583698,15.38562192,14.39813468,17.09597331,14.98292833,12.49679763,14.01898439,14.28958576,17.39818885,16.97023547,13.73349856
HexCer 41:9;4O_Neg,23.22508203,22.55433964,22.8488102,23.46235616,23.54073343,23.59373917,22.34519208,21.94003295,22.02185647,23.66604887,23.87713723,23.5511651,23.92723327,23.51802382,23.83705088,22.41863159,21.87360669,22.23195043,23.42418216,22.91904637,23.43411867,23.91532946,24.01043998,23.41050781,22.90742989,22.53776272,22.97668569,23.64718665,23.42814455,23.42987476,24.08723784,23.34393272,23.44086374,23.03159848,23.48938748,23.09365143,22.63866203,23.12749175,22.84282371,23.56403849,24.16365693,23.59565382,21.9223501,21.8780589,21.07197478,24.03368186,24.18773748,23.49418976,23.86824514,23.70726657,23.51264524,21.30539302,21.08843831,21.10639058
HexCer 42:2;2O_#_Neg,NA,12.70108253,NA,NA,NA,NA,NA,NA,NA,NA,13.62184522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HexCer 42:2;2O_Neg,15.95796248,15.67512358,15.6912831,13.84569472,12.804254,12.53573731,15.35683836,13.78412063,16.47464259,12.58909358,15.25211084,13.31477581,14.16338032,13.73307476,11.97724587,17.2607473,16.44993854,16.61008803,12.93230349,15.15417991,14.0124257,14.60918939,14.01618977,12.55019763,16.30053734,15.66896381,12.68879234,12.58287824,14.99217383,14.75936031,12.61632282,12.42601323,14.5752007,16.02048358,16.25041642,14.07561193,14.63431612,15.97785747,16.76355117,14.54566036,15.88205503,13.74489718,17.59470799,18.22885032,16.45777661,13.59745394,13.20666954,13.87301171,14.49182945,12.54050322,15.85922201,14.98256623,17.25720133,14.96955934
HexCer 43:9;4O_Neg,22.15636833,21.6335866,21.72946819,20.43250473,21.48772469,20.53091023,20.61966558,20.4952431,20.29454862,21.74092041,21.9970208,21.29617169,20.96115935,20.75239824,22.05073606,19.84667714,20.1641194,20.1147383,22.23784023,21.80449079,22.30681824,21.75061606,22.04561945,21.49158054,21.12724504,20.74007882,21.78134458,20.6048154,21.88952928,21.40059876,22.04368502,21.85586247,20.15786554,21.9356213,21.92058283,22.13710127,21.14452876,21.43475803,21.47693021,21.51873451,22.58960119,21.6314491,19.07618477,19.80062973,19.07674073,22.07653835,22.73267245,21.50748252,21.74745865,21.4777862,21.97422952,17.66419343,16.44406562,16.07493872
