
                                              MFCS/win                    Report printed:                2024-11-03 12:49:24
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat22_control                   Batch created:            2024-10-30 16:46:55

 Experiment Start:          2024-10-30 16:46:55                 Experiment Stop:          2024-11-03 12:10:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  AFOAM

  Data
                                                      Value


 Date    /  Time                Age

30-10-2024 16:46:55             0.000   179769313486232000000000000000000   INVAL/OFF

30-10-2024 17:16:55             0.500   179769313486232000000000000000000   INVAL/OFF
30-10-2024 17:46:55             1.000   179769313486232000000000000000000   INVAL/OFF
30-10-2024 18:16:55             1.500   179769313486232000000000000000000   INVAL/OFF

30-10-2024 18:46:55             2.000   179769313486232000000000000000000   INVAL/OFF
30-10-2024 19:16:55             2.500   179769313486232000000000000000000   INVAL/OFF
30-10-2024 19:46:55             3.000   179769313486232000000000000000000   INVAL/OFF

30-10-2024 20:16:55             3.500   179769313486232000000000000000000   INVAL/OFF
30-10-2024 20:46:55             4.000   179769313486232000000000000000000   INVAL/OFF

30-10-2024 21:16:55             4.500   179769313486232000000000000000000   INVAL/OFF
30-10-2024 21:46:55             5.000   179769313486232000000000000000000   INVAL/OFF
30-10-2024 22:16:55             5.500   179769313486232000000000000000000   INVAL/OFF

30-10-2024 22:46:55             6.000   179769313486232000000000000000000   INVAL/OFF
30-10-2024 23:16:55             6.500   179769313486232000000000000000000   INVAL/OFF

30-10-2024 23:46:55             7.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 00:16:55             7.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 00:46:55             8.000   179769313486232000000000000000000   INVAL/OFF

31-10-2024 01:16:55             8.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 01:46:55             9.000   179769313486232000000000000000000   INVAL/OFF

31-10-2024 02:16:55             9.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 02:46:55            10.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 03:16:55            10.500   179769313486232000000000000000000   INVAL/OFF

31-10-2024 03:46:55            11.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 04:16:55            11.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 04:46:55            12.000   179769313486232000000000000000000   INVAL/OFF

31-10-2024 05:16:55            12.500   179769313486232000000000000000000   INVAL/OFF
