BatchId;PDatTime;ProcessTime;ACIDSUB;ACIDSUB;ACIDSUB;ACIDSUB;ACIDT;AFOAMT;AIRSP;AIRSP;AIRSP;AIRSP;BASESUB;BASESUB;BASESUB;BASESUB;BASET;Count;EXT_A;EXT_B;EXT_C;EXT_D;EXT_E;EXT_F;JTEMP;JTEMP;JTEMP;JTEMP;O2SP;O2SP;O2SP;O2SP;pH;pH;pH;pH;pH_A;pO2;pO2;pO2;pO2;pO2_A;STIRR;STIRR;STIRR;STIRR;SUBS_A;SUBS_A;SUBS_A;SUBS_A;SUBS_B;SUBS_B;SUBS_B;SUBS_B;SUBST_A;SUBST_B;TEMP;TEMP;TEMP;TEMP;VWEIGHT;VWEIGHT;VWEIGHT;VWEIGHT
;;Value;Mode;Setpoint;Value;Output;Value;Value;Mode;Output;Value;Setpoint;Mode;Output;Value;Setpoint;Value;Value;Value;Value;Value;Value;Value;Value;Mode;Output;Setpoint;Value;Value;Output;Setpoint;Mode;Setpoint;Value;Mode;Output;Value;Setpoint;Value;Mode;Output;Value;Output;Value;Mode;Setpoint;Output;Setpoint;Mode;Value;Mode;Value;Output;Setpoint;Value;Value;Mode;Output;Setpoint;Value;Value;Output;Setpoint;Mode
;;hours;;%;%;%;ml;ml;;%;lpm;lpm;;%;%;%;ml;s;%;%;%;%;%;%;;%;°C;°C;lpm;%;lpm;;pH;pH;;%;pH;%sat;%sat;;%;%sat;%;rpm;;rpm;%;%;;%;;%;%;%;ml;ml;;%;°C;°C;kg;%;kg;

Biostat2L_81_r3;2026-09-08 12:35:47;0.00487222222222222;;;;;;;;;;;;;;;;;;;;;;;;-5.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_81_r3;2026-09-08 12:35:52;0.00626111111111111;;;;;;;;;;;;;;;;;;;;;;;;-5.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_81_r3;2026-09-08 12:36:17;0.0132194444444444;;;;;;;;;;;;;;;;;;;;;;;;-3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_81_r3;2026-09-08 12:36:22;0.0146083333333333;;;;;;;;;;;;;;;;;;;;;;;;-2.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_81_r3;2026-09-08 12:36:47;0.0215611111111111;;;;;;;;;;;;;;;;;;;;;;;;-1.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_81_r3;2026-09-08 12:36:52;0.0229527777777778;;;;;;;;;;;;;;;;;;;;;;;;-0.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_81_r3;2026-09-08 12:37:17;0.0299055555555556;;;;;;;;;;;;;;;;;;;;;;;;1.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_81_r3;2026-09-08 12:37:22;0.0312972222222222;;;;;;;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_81_r3;2026-09-08 12:37:37;0.0354694444444444;;;;;;;;;;;;;;;;;;;;;;;;1.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_81_r3;2026-09-08 12:37:42;0.0368611111111111;;;;;;;;;;;;;;;;;;;;;;;;3.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_81_r3;2026-09-08 12:41:48;0.105027777777778;;;;;;;;;;;;;;;;;;;;;;;;1.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_81_r3;2026-09-08 12:41:53;0.106416666666667;;;;;;;;;;;;;;;;;;;;;;;;1.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
