
                                              MFCS/win                    Report printed:                2024-10-26 19:15:11
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_20                        Batch created:            2024-10-14 11:13:07

 Experiment Start:          2024-10-14 11:13:07                 Experiment Stop:          2024-10-18 14:31:10

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  PO2_A
                                                    %Sat
  Data
                                                      Value


 Date    /  Time                Age

14-10-2024 11:13:07             0.000                  93.6

14-10-2024 11:16:22             0.054                  93.2
14-10-2024 11:16:37             0.058                  92.6
14-10-2024 11:16:52             0.062                  91.5

14-10-2024 11:17:07             0.067                  89.4
14-10-2024 11:17:22             0.071                  86.6
14-10-2024 11:17:37             0.075                  84.7

14-10-2024 11:17:52             0.079                  82.9
14-10-2024 11:18:07             0.083                  81.3

14-10-2024 11:18:22             0.088                  80.2
14-10-2024 11:18:37             0.092                  78.8
14-10-2024 11:18:52             0.096                  77.3

14-10-2024 11:19:07             0.100                  75.9
14-10-2024 11:19:22             0.104                  74.5

14-10-2024 11:19:37             0.108                  73.5
14-10-2024 11:19:52             0.112                  72.9
14-10-2024 11:20:07             0.117                  71.8

14-10-2024 11:20:22             0.121                  70.8
14-10-2024 11:20:37             0.125                  70.1

14-10-2024 11:20:52             0.129                  69.4
14-10-2024 11:21:07             0.133                  68.9
14-10-2024 11:21:22             0.138                  68.4

14-10-2024 11:21:37             0.142                  67.8
14-10-2024 11:21:52             0.146                  67.3
14-10-2024 11:23:07             0.167                  66.4

14-10-2024 11:23:22             0.171                  66.3
14-10-2024 11:24:22             0.188                  65.3

14-10-2024 11:24:37             0.192                  65.2
14-10-2024 11:26:22             0.221                  64.3
14-10-2024 11:26:37             0.225                  64.2

14-10-2024 11:43:07             0.500                  64.0
14-10-2024 11:45:38             0.542                  63.2

14-10-2024 11:45:53             0.546                  63.0
14-10-2024 11:48:38             0.592                  62.1
14-10-2024 11:48:53             0.596                  61.9

14-10-2024 11:51:23             0.638                  61.0


14-10-2024 11:51:38             0.642                  60.8
14-10-2024 11:54:08             0.684                  59.9

14-10-2024 11:54:23             0.688                  59.8
14-10-2024 11:56:53             0.729                  58.8
14-10-2024 11:57:08             0.734                  58.2

14-10-2024 11:59:53             0.779                  57.3
14-10-2024 12:00:08             0.784                  57.2

14-10-2024 12:03:08             0.834                  56.4
14-10-2024 12:03:23             0.838                  55.9
14-10-2024 12:05:09             0.867                  55.0

14-10-2024 12:05:24             0.871                  54.9
14-10-2024 12:06:54             0.896                  54.1

14-10-2024 12:07:09             0.901                  53.9
14-10-2024 12:10:25             0.955                  53.0
14-10-2024 12:10:40             0.959                  52.9

