YALI0_ID,UniProt_ID
YALI0F05082g,Q6C2U5
YALI0F03641g,Q6C305
YALI0F02849g,Q6C340
YALI0F02805g,Q6C342
YALI0F02673g,Q6C348
YALI0F02629g,Q6C350
YALI0F01232g,Q6C3A7
YALI0F01034g,Q6C3B6
YALI0F00836g,Q6C3C5
YALI0F00154g,Q6C3F6
YALI0E34980g,Q6C3G7
YALI0E34749g,Q6C3H7
YALI0E34551g,Q6C3I4
YALI0E34111g,Q6C3K3
YALI0E33407g,Q6C3N3
YALI0E33377g,Q6C3N5
YALI0E33253g,Q6C3P2
YALI0E33165g,Q6C3P6
YALI0E32857g,Q6C3Q8
YALI0E32769g,Q6C3R2
YALI0E31779g,Q6C3V9
YALI0E31009g,Q6C3Z7
YALI0E29579g,Q6C454
YALI0E28237g,Q6C4B5
YALI0E27962g,Q6C4C2
YALI0E27940g,Q6C4C3
YALI0E27049g,Q6C4G2
YALI0E26829g,Q6C4H2
YALI0E26235g,Q6C4J6
YALI0E26059g,Q6C4K2
YALI0E25069g,Q6C4N2
YALI0E24761g,Q6C4P5
YALI0E24673g,Q6C4P9
YALI0E24497g,Q6C4Q7
YALI0E24013g,Q6C4S9
YALI0E23496g,Q6C4V0
YALI0E23408g,Q6C4V4
YALI0E22781g,Q6C4Y2
YALI0E21626g,Q6C525
YALI0E20955g,Q6C552
YALI0E20867g,Q6C556
YALI0E20361g,Q6C579
YALI0E20031g,Q6C592
YALI0E19360g,Q6C5C0
YALI0E19338g,Q6C5C1
YALI0E19008g,Q6C5D3
YALI0E18634g,Q6C5F0
YALI0E17479g,Q6C5J7
YALI0E17105g,Q6C5L2
YALI0E16346g,Q6C5P5
YALI0E15840g,Q6C5R4
YALI0E15730g,Q6C5R8
YALI0E15642g,Q6C5S2
YALI0E15620g,Q6C5S3
YALI0E15488g,Q6C5S9
YALI0E15268g,Q6C5T7
YALI0E15224g,Q6C5T9
YALI0E14256g,Q6C5X6
YALI0E14014g,Q6C5Y7
YALI0E13486g,Q6C609
YALI0E13376g,Q6C613
YALI0E13123g,Q6C624
YALI0E12683g,Q6C638
YALI0E12441g,Q6C649
YALI0E11869g,Q6C675
YALI0E10747g,Q6C6B9
YALI0E09449g,Q6C6H7
YALI0E09012g,Q6C6J7
YALI0E08822g,Q6C6K6
YALI0E08756g,Q6C6K7
YALI0E07788g,Q6C6N9
YALI0E07491g,Q6C6P8
YALI0E06479g,Q6C6T4
YALI0E06457g,Q6C6T5
YALI0E05753g,Q6C6W3
YALI0E04807g,Q6C704
YALI0E04719g,Q6C708
YALI0E04444g,Q6C721
YALI0E03806g,Q6C748
YALI0E03630g,Q6C755
YALI0D27148g,Q6C7L3
YALI0D23661g,Q6C813
YALI0D23595g,Q6C816
YALI0D23397g,Q6C823
YALI0D23265g,Q6C829
YALI0D22484g,Q6C859
YALI0D21530g,Q6C897
YALI0D20174g,Q6C8F1
YALI0D19470g,Q6C8H9
YALI0D19118g,Q6C8J5
YALI0D18381g,Q6C8M9
YALI0D17424g,Q6C8S3
YALI0D17204g,Q6C8T1
YALI0D17138g,Q6C8T4
YALI0D17072g,Q6C8T8
YALI0D15708g,Q6C8Y9
YALI0D14542g,Q6C936
YALI0D14322g,Q6C946
YALI0D14102g,Q6C948
YALI0D13706g,Q6C963
YALI0D13596g,Q6C968
YALI0D13112g,Q6C985
YALI0D12925g,Q6C995
YALI0D12452g,Q6C9B7
YALI0D12210g,Q6C9C9
YALI0D11968g,Q6C9D9
YALI0D11814g,Q6C9E6
YALI0D11770g,Q6C9E8
YALI0D11704g,Q6C9F1
YALI0D11374g,Q6C9G6
YALI0D11176g,Q6C9H5
YALI0D10549g,Q6C9K2
YALI0D10307g,Q6C9K9
YALI0D10104g,Q6C9L7
YALI0D09955g,Q6C9M4
YALI0D09669g,Q6C9N7
YALI0D08514g,Q6C9T5
YALI0D07920g,Q6C9V8
YALI0D07700g,Q6C9W9
YALI0D07414g,Q6C9Y2
YALI0D06776g,Q6CA11
YALI0D06039g,Q6CA43
YALI0D05071g,Q6CA82
YALI0D04873g,Q6CA91
YALI0D04851g,Q6CA92
YALI0D04741g,Q6CA97
YALI0D03718g,Q6CAD6
YALI0D03135g,Q6CAF8
YALI0D02607g,Q6CAI0
YALI0D02101g,Q6CAK0
YALI0D01265g,Q6CAN4
YALI0D01089g,Q6CAP2
YALI0D00605g,Q6CAR4
YALI0C24101g,Q6CAV2
YALI0C23969g,Q6CAV8
YALI0C23364g,Q6CAY4
YALI0C22792g,Q6CB09
YALI0C22550g,Q6CB20
YALI0C22385g,Q6CB28
YALI0C21648g,Q6CB61
YALI0C21087g,Q6CB88
YALI0C20933g,Q6CB95
YALI0C19041g,Q6CBG6
YALI0C18799g,Q6CBH1
YALI0C18205g,Q6CBJ6
YALI0C17941g,Q6CBK6
YALI0C17347g,Q6CBM2
YALI0C15554g,Q6CBT9
YALI0C14960g,Q6CBW4
YALI0C14344g,Q6CBY8
YALI0C12859g,Q6CC36
YALI0C11880g,Q6CC71
YALI0C11363g,Q6CC93
YALI0C10945g,Q6CCB1
YALI0C10648g,Q6CCC5
YALI0C09680g,Q6CCG0
YALI0C08305g,Q6CCL9
YALI0C08074g,Q6CCN0
YALI0C07436g,Q6CCQ7
YALI0C07128g,Q6CCR8
YALI0C06061g,Q6CCW1
YALI0C05951g,Q6CCW6
YALI0C04774g,Q6CD10
YALI0C01617g,Q6CDC7
YALI0C00891g,Q6CDF7
YALI0C00253g,Q6CDI5
YALI0B23056g,Q6CDL3
YALI0B22946g,Q6CDL8
YALI0B22506g,Q6CDN8
YALI0B22066g,Q6CDQ7
YALI0B21516g,Q6CDS7
YALI0B21098g,Q6CDU6
YALI0B20416g,Q6CDX7
YALI0B20196g,Q6CDY7
YALI0B19976g,Q6CDZ5
YALI0B19580g,Q6CE11
YALI0B19382g,Q6CE16
YALI0B18348g,Q6CE59
YALI0B17886g,Q6CE77
YALI0B17622g,Q6CE89
YALI0B17402g,Q6CE97
YALI0B17358g,Q6CE99
YALI0B17072g,Q6CEB0
YALI0B16698g,Q6CEC7
YALI0B16588g,Q6CED2
YALI0B16434g,Q6CED9
YALI0B16368g,Q6CEE2
YALI0B16324g,Q6CEE3
YALI0B16258g,Q6CEE6
YALI0B15884g,Q6CEG2
YALI0B15598g,Q6CEH4
YALI0B15510g,Q6CEH8
YALI0B15304g,Q6CEI8
YALI0B15224g,Q6CEJ2
YALI0B15180g,Q6CEJ4
YALI0B15125g,Q6CEJ7
YALI0B14949g,Q6CEK5
YALI0B14927g,Q6CEK6
YALI0B14751g,Q6CEL4
YALI0B14509g,Q6CEM5
YALI0B14487g,Q6CEM6
YALI0B13552g,Q6CER7
YALI0B12628g,Q6CEV3
YALI0B11594g,Q6CEZ5
YALI0B11352g,Q6CF06
YALI0B11286g,Q6CF09
YALI0B11022g,Q6CF19
YALI0B10560g,Q6CF36
YALI0B10516g,Q6CF38
YALI0B09669g,Q6CF73
YALI0B09053g,Q6CF95
YALI0B08250g,Q6CFC9
YALI0B07557g,Q6CFF3
YALI0B07381g,Q6CFF9
YALI0B06831g,Q6CFH9
YALI0B06446g,Q6CFJ4
YALI0B06303g,Q6CFJ9
YALI0B05940g,Q6CFL1
YALI0B05368g,Q6CFN6
YALI0B04752g,Q6CFQ6
YALI0B04180g,Q6CFS9
YALI0B03718g,Q6CFU4
YALI0B02816g,Q6CFX3
YALI0B02574g,Q6CFY2
YALI0B02376g,Q6CFY9
YALI0B02244g,Q6CFZ4
YALI0B01980g,Q6CG06
YALI0B01870g,Q6CG09
YALI0B01386g,Q6CG28
YALI0A20768g,Q6CGB0
YALI0A20372g,Q6CGC9
YALI0A19756g,Q6CGF6
YALI0A19030g,Q6CGI5
YALI0A18227g,Q6CGL9
YALI0A18062g,Q6CGM4
YALI0A17127g,Q6CGR2
YALI0A15972g,Q6CGV1
YALI0A15950g,Q6CGV2
YALI0A14784g,Q6CGZ0
YALI0A12353g,Q6CH50
YALI0A11539g,Q6CH79
YALI0A11099g,Q6CH93
YALI0A10879g,Q6CHA1
YALI0A10615g,Q6CHB1
YALI0A10571g,Q6CHB3
YALI0A10310g,Q6CHC2
YALI0A09900g,Q6CHD8
YALI0A08426g,Q6CHI6
YALI0A05423g,Q6CHS5
YALI0A05247g,Q6CHT2
YALI0A04961g,Q6CHU2
YALI0A04675g,Q6CHV1
YALI0A03927g,Q6CHW9
YALI0A03597g,Q6CHY1
YALI0A03245g,Q6CHY9
YALI0A03025g,Q6CHZ7
YALI0A02541g,Q6CI15
YALI0A02453g,Q6CI19
YALI0A01023g,Q6CI72
YALI0A00803g,Q6CI82
YALI0E06519g,W0TYM1
YALI0D22770g,W0TYN3
YALI0B01224g,W0TYP5
YALI0B01771g,B5FVA8
YALI0B03575g,B5FVB0
YALI0B04851g,B5FVB1
YALI0B17303g,B5FVB5
YALI0B20911g,B5FVB7
YALI0C21789g,B5FVD3
YALI0D03949g,B5FVD7
YALI0D05697g,B5FVE0
YALI0D06578g,B5FVE1
YALI0D08635g,B5FVE3
YALI0D10274g,B5FVE5
YALI0D11125g,B5FVE6
YALI0D11627g,B5FVE7
YALI0D23386g,B5FVE9
YALI0E23793g,B5FVF4
YALI0E28930g,B5FVF8
YALI0E31766g,B5FVG1
YALI0E32736g,B5FVG6
YALI0E34826g,B5FVG8
YALI0A09933g,B5RSK0
YALI0A20867g,B5RSK4
YALI0F18359g,B5RSL7
YALI0F26156g,B5RSM2
YALI0F30426g,B5RSM6
YALI0A21076g,B5U8Q6
YALI0B13838g,F2Z5W7
YALI0C01023g,F2Z5X4
YALI0A09108g,F2Z5Y6
YALI0E34287g,F2Z5Z4
YALI0B07667g,F2Z5Z5
YALI0A09262g,F2Z604
YALI0E02222g,F2Z612
YALI0E34309g,F2Z620
YALI0B01848g,F2Z623
YALI0E27654g,F2Z627
YALI0C23859g,F2Z630
YALI0F13629g,F2Z643
YALI0E25845g,F2Z658
YALI0F24563g,F2Z686
YALI0C22616g,F2Z697
YALI0A15488g,F2Z6A4
YALI0A18722g,F2Z6B2
YALI0F23375g,F2Z6C2
YALI0A09284g,F2Z6D0
YALI0E23474g,F2Z6D5
YALI0B11330g,F2Z6G2
YALI0F27643g,F2Z6H1
YALI0B13816g,F2Z6H3
YALI0A14542g,F2Z6H7
YALI0C12122g,F2Z6I4
YALI0F01320g,F2Z6J3
YALI0F32043g,Q6BZP3
YALI0F32021g,Q6BZP4
YALI0F31845g,Q6BZQ2
YALI0F31735g,Q6BZQ3
YALI0F31471g,Q6BZR5
YALI0F31317g,Q6BZS2
YALI0F31273g,Q6BZS4
YALI0F31229g,Q6BZS6
YALI0F31207g,Q6BZS7
YALI0F31163g,Q6BZS9
YALI0F31141g,Q6BZT0
YALI0F31053g,Q6BZT4
YALI0F30833g,Q6BZU4
YALI0F30679g,Q6BZV1
YALI0F30525g,Q6BZV8
YALI0F30481g,Q6BZW0
YALI0F30393g,Q6BZW4
YALI0F30349g,Q6BZW6
YALI0F30261g,Q6BZX0
YALI0F30217g,Q6BZX2
YALI0F30129g,Q6BZX6
YALI0F30085g,Q6BZX8
YALI0F30063g,Q6BZX9
YALI0F29843g,Q6BZY8
YALI0F29337g,Q6BZZ9
YALI0F29161g,Q6C004
YALI0F28523g,Q6C018
YALI0F28413g,Q6C023
YALI0F28281g,Q6C029
YALI0F28061g,Q6C037
YALI0F28017g,Q6C039
YALI0F27995g,Q6C040
YALI0F27973g,Q6C041
YALI0F27863g,Q6C046
YALI0F27819g,Q6C048
YALI0F27775g,Q6C050
YALI0F27511g,Q6C062
YALI0F27357g,Q6C069
YALI0F27313g,Q6C071
YALI0F27225g,Q6C075
YALI0F27181g,Q6C077
YALI0F27159g,Q6C078
YALI0F27071g,Q6C080
YALI0F27049g,Q6C081
YALI0F27027g,Q6C082
YALI0F26873g,Q6C088
YALI0F26807g,Q6C089
YALI0F26719g,Q6C092
YALI0F26653g,Q6C095
YALI0F26587g,Q6C098
YALI0F26543g,Q6C0A0
YALI0F26455g,Q6C0A4
YALI0F26323g,Q6C0B0
YALI0F26301g,Q6C0B1
YALI0F26191g,Q6C0B4
YALI0F26103g,Q6C0B8
YALI0F25839g,Q6C0C7
YALI0F25817g,Q6C0C8
YALI0F25773g,Q6C0D0
YALI0F25729g,Q6C0D2
YALI0F25553g,Q6C0E0
YALI0F25531g,Q6C0E1
YALI0F25509g,Q6C0E2
YALI0F25333g,Q6C0E8
YALI0F25289g,Q6C0E9
YALI0F25267g,Q6C0F0
YALI0F25091g,Q6C0F8
YALI0F25069g,Q6C0F9
YALI0F25047g,Q6C0G0
YALI0F24959g,Q6C0G4
YALI0F24915g,Q6C0G6
YALI0F24893g,Q6C0G7
YALI0F24695g,Q6C0H3
YALI0F24673g,Q6C0H4
YALI0F24651g,Q6C0H5
YALI0F24585g,Q6C0H6
YALI0F24453g,Q6C0I2
YALI0F24387g,Q6C0I5
YALI0F24321g,Q6C0I8
YALI0F24299g,Q6C0I9
YALI0F24277g,Q6C0J0
YALI0F24013g,Q6C0K0
YALI0F23947g,Q6C0K3
YALI0F23903g,Q6C0K5
YALI0F23793g,Q6C0L0
YALI0F23573g,Q6C0L8
