YALI1,YALI2
YALI1_B30214g,YALI2_C00611g
YALI1_B30218g,YALI2_C00605g
YALI1_B30275g,YALI2_C00609g
YALI1_B30293g,YALI2_C00607g
YALI1_C00116g,YALI2_C00002g
YALI1_C00141g,YALI2_C01211g
YALI1_C00164g,YALI2_C01210g
YALI1_C00209g,YALI2_C01209g
YALI1_C00230g,YALI2_C00003g
YALI1_C00258g,YALI2_C00004g
YALI1_C00293g,YALI2_C01208g
YALI1_C00331g,YALI2_C01207g
YALI1_C00335g,YALI2_C00005g
YALI1_C353g,YALI2_C01206g
YALI1_C00368g,YALI2_C00006g
YALI1_C00422g,YALI2_C01205g
YALI1_C00442g,YALI2_C00007g
YALI1_C00464g,YALI2_C00008g
YALI1_C00503g,YALI2_C00009g
YALI1_C00550g,YALI2_C01204g
YALI1_C00615g,YALI2_C01203g
YALI1_C00694g,YALI2_C01202g
YALI1_C00739g,YALI2_C00010g
YALI1_C00766g,YALI2_C01201g
YALI1_C00772g,YALI2_C00011g
YALI1_C00826g,YALI2_C01199g
YALI1_C00841g,YALI2_C00012g
YALI1_C00874g,YALI2_C01198g
YALI1_C00913g,YALI2_C01197g
YALI1_C00958g,YALI2_C01196g
YALI1_C00962g,YALI2_C00013g
YALI1_C00999g,YALI2_C00014g
YALI1_C01043g,YALI2_C00017g
YALI1_C01072g,YALI2_C00018g
YALI1_C01106g,YALI2_C00019g
YALI1_C01129g,YALI2_C00020g
YALI1_C01161g,YALI2_C01195g
YALI1_C01244g,YALI2_C00021g
YALI1_C01297g,YALI2_C01194g
YALI1_C01338g,YALI2_C01193g
YALI1_C01356g,YALI2_C00022g
YALI1_C01393g,YALI2_C00023g
YALI1_C01416g,YALI2_C01192g
YALI1_C01433g,YALI2_C00024g
YALI1_C01491g,YALI2_C01191g
YALI1_C01520g,YALI2_C01190g
YALI1_C01535g,YALI2_C00026g
YALI1_C01576g,YALI2_C01189g
YALI1_C01596g,YALI2_C00027g
YALI1_C01675g,YALI2_C01188g
YALI1_C01720g,YALI2_C01187g
YALI1_C01789g,YALI2_C01186g
YALI1_C01800g,YALI2_C00028g
YALI1_C01810g,YALI2_C00029g
YALI1_C01826g,YALI2_C01185g
YALI1_C01847g,YALI2_C00030g
YALI1_C01876g,YALI2_C00031g
YALI1_C01944g,YALI2_C01184g
YALI1_C01965g,YALI2_C00032g
YALI1_C01993g,YALI2_C00033g
YALI1_C02053g,YALI2_C00034g
YALI1_C02086g,YALI2_C00035g
YALI1_C02117g,YALI2_C01183g
YALI1_C02152g,YALI2_C01182g
YALI1_C02188g,YALI2_C01181g
YALI1_C02215g,YALI2_C01180g
YALI1_C02248g,YALI2_C00036g
YALI1_C02332g,YALI2_C01179g
YALI1_C02391g,YALI2_C01178g
YALI1_C02402g,YALI2_C00037g
YALI1_C02441g,YALI2_C00038g
YALI1_C02487g,YALI2_C01177g
YALI1_C02521g,YALI2_C01176g
YALI1_C02550g,YALI2_C01175g
YALI1_C02588g,YALI2_C01174g
YALI1_C02611g,YALI2_C01173g
YALI1_C02639g,YALI2_C01172g
YALI1_C02686g,YALI2_C01171g
YALI1_C02831g,YALI2_C01170g
YALI1_C02904g,YALI2_C01169g
YALI1_C03036g,YALI2_C00039g
YALI1_C03221g,YALI2_C01168g
YALI1_C03246g,YALI2_C01167g
YALI1_C03272g,YALI2_C01166g
YALI1_C03335g,YALI2_C01165g
YALI1_C03349g,YALI2_C00041g
YALI1_C03378g,YALI2_C00042g
YALI1_C03415g,YALI2_C01164g
YALI1_C03461g,YALI2_C01163g
YALI1_C03495g,YALI2_C01162g
YALI1_C03513g,YALI2_C01161g
YALI1_C03534g,YALI2_C01160g
YALI1_C03550g,YALI2_C00043g
YALI1_C03582g,YALI2_C01159g
YALI1_C03596g,YALI2_C00044g
YALI1_C03615g,YALI2_C01158g
YALI1_C03674g,YALI2_C00045g
YALI1_C03735g,YALI2_C01157g
YALI1_C03774g,YALI2_C01156g
YALI1_C03842g,YALI2_C01154g
YALI1_C03848g,YALI2_C00046g
YALI1_C03874g,YALI2_C01153g
YALI1_C03887g,YALI2_C00047g
YALI1_C03914g,YALI2_C00048g
YALI1_C03933g,YALI2_C01152g
YALI1_C03939g,YALI2_C01151g
YALI1_C03948g,YALI2_C00049g
YALI1_C03969g,YALI2_C01150g
YALI1_C03988g,YALI2_C01149g
YALI1_C04031g,YALI2_C00050g
YALI1_C04067g,YALI2_C00051g
YALI1_C04093g,YALI2_C01148g
YALI1_C04117g,YALI2_C00052g
YALI1_C04143g,YALI2_C01147g
YALI1_C04162g,YALI2_C00053g
YALI1_C04201g,YALI2_C00054g
YALI1_C04265g,YALI2_C01146g
YALI1_C04281g,YALI2_C01145g
YALI1_C04302g,YALI2_C00055g
YALI1_C04328g,YALI2_C00056g
YALI1_C04389g,YALI2_C01143g
YALI1_C04401g,YALI2_C00057g
YALI1_C04436g,YALI2_C01142g
YALI1_C04490g,YALI2_C00058g
YALI1_C04531g,YALI2_C01141g
YALI1_C04553g,YALI2_C01140g
YALI1_C04570g,YALI2_C00059g
YALI1_C04672g,YALI2_C01139g
YALI1_C04690g,YALI2_C01138g
YALI1_C04720g,YALI2_C01137g
YALI1_C04771g,YALI2_C01136g
YALI1_C04798g,YALI2_C01135g
YALI1_C04818g,YALI2_C00060g
YALI1_C04853g,YALI2_C01134g
YALI1_C04882g,YALI2_C00061g
YALI1_C04925g,YALI2_C01133g
YALI1_C04962g,YALI2_C00062g
YALI1_C04991g,YALI2_C01132g
YALI1_C04996g,YALI2_C00063g
YALI1_C05022g,YALI2_C01131g
YALI1_C05088g,YALI2_C01130g
YALI1_C05125g,YALI2_C01129g
YALI1_C05133g,YALI2_C00064g
YALI1_C05178g,YALI2_C01128g
YALI1_C05204g,YALI2_C00066g
YALI1_C05252g,YALI2_C01127g
YALI1_C05264g,YALI2_C00067g
YALI1_C05296g,YALI2_C00068g
YALI1_C05323g,YALI2_C01126g
YALI1_C05347g,YALI2_C01125g
YALI1_C05372g,YALI2_C01124g
YALI1_C05386g,YALI2_C01123g
YALI1_C05423g,YALI2_C01122g
YALI1_C05494g,YALI2_C01121g
YALI1_C05554g,YALI2_C01120g
YALI1_C05570g,YALI2_C00069g
YALI1_C05636g,YALI2_C01119g
YALI1_C05649g,YALI2_C00070g
YALI1_C05710g,YALI2_C01118g
YALI1_C05734g,YALI2_C01117g
YALI1_C05757g,YALI2_C00071g
YALI1_C05789g,YALI2_C00072g
YALI1_C05813g,YALI2_C01116g
YALI1_C05820g,YALI2_C00073g
YALI1_C05857g,YALI2_C01115g
YALI1_C05880g,YALI2_C00074g
YALI1_C05908g,YALI2_C00075g
YALI1_C05931g,YALI2_C01114g
YALI1_C05972g,YALI2_C01113g
YALI1_C06006g,YALI2_C01112g
YALI1_C06023g,YALI2_C01111g
YALI1_C06032g,YALI2_C00076g
YALI1_C06041g,YALI2_C00077g
YALI1_C06071g,YALI2_C01110g
YALI1_C06106g,YALI2_C01109g
YALI1_C06137g,YALI2_C00078g
YALI1_C06191g,YALI2_C00079g
YALI1_C06222g,YALI2_C00080g
YALI1_C06259g,YALI2_C01108g
YALI1_C06298g,YALI2_C01107g
YALI1_C06328g,YALI2_C01106g
YALI1_C06368g,YALI2_C00081g
YALI1_C06394g,YALI2_C01105g
YALI1_C06414g,YALI2_C00082g
YALI1_C06459g,YALI2_C01104g
YALI1_C06486g,YALI2_C01103g
YALI1_C06511g,YALI2_C01102g
YALI1_C06532g,YALI2_C01101g
YALI1_C06548g,YALI2_C00083g
YALI1_C06597g,YALI2_C01100g
YALI1_C06626g,YALI2_C00084g
YALI1_C06681g,YALI2_C01099g
YALI1_C06695g,YALI2_C00085g
YALI1_C06716g,YALI2_C01098g
YALI1_C06724g,YALI2_C00086g
YALI1_C06770g,YALI2_C01097g
YALI1_C06870g,YALI2_C01096g
YALI1_C06917g,YALI2_C01095g
YALI1_C06929g,YALI2_C00088g
YALI1_C06951g,YALI2_C01094g
YALI1_C06973g,YALI2_C00089g
YALI1_C06994g,YALI2_C01093g
YALI1_C07028g,YALI2_C01092g
YALI1_C07077g,YALI2_C01091g
YALI1_C07109g,YALI2_C01090g
YALI1_C07117g,YALI2_C01089g
YALI1_C07137g,YALI2_C00090g
YALI1_C07170g,YALI2_C01088g
YALI1_C07199g,YALI2_C00091g
YALI1_C07239g,YALI2_C01087g
YALI1_C07360g,YALI2_C00092g
YALI1_C07397g,YALI2_C01085g
YALI1_C07423g,YALI2_C00093g
YALI1_C07451g,YALI2_C00094g
YALI1_C07481g,YALI2_C01084g
YALI1_C07495g,YALI2_C00095g
YALI1_C07519g,YALI2_C00096g
YALI1_C07534g,YALI2_C01083g
YALI1_C07562g,YALI2_C00097g
YALI1_C07592g,YALI2_C01082g
YALI1_C07613g,YALI2_C01081g
YALI1_C07638g,YALI2_C00098g
YALI1_C07670g,YALI2_C00099g
YALI1_C07721g,YALI2_C00100g
YALI1_C07758g,YALI2_C01080g
YALI1_C07770g,YALI2_C01079g
YALI1_C07780g,YALI2_C00101g
YALI1_C07816g,YALI2_C00102g
YALI1_C07894g,YALI2_C00103g
YALI1_C07948g,YALI2_C01078g
YALI1_C07979g,YALI2_C00104g
YALI1_C08017g,YALI2_C00105g
YALI1_C08040g,YALI2_C00106g
YALI1_C08065g,YALI2_C01076g
YALI1_C08106g,YALI2_C00107g
YALI1_C08151g,YALI2_C00108g
YALI1_C08173g,YALI2_C01075g
YALI1_C08197g,YALI2_C01074g
YALI1_C08218g,YALI2_C01073g
YALI1_C08242g,YALI2_C01072g
YALI1_C08262g,YALI2_C00109g
YALI1_C08298g,YALI2_C00110g
YALI1_C08523g,YALI2_C00111g
YALI1_C08548g,YALI2_C00112g
YALI1_C08600g,YALI2_C01069g
YALI1_C08702g,YALI2_C01068g
YALI1_C08748g,YALI2_C01067g
YALI1_C08791g,YALI2_C00113g
YALI1_C08834g,YALI2_C01065g
YALI1_C08882g,YALI2_C01064g
YALI1_C08893g,YALI2_C00114g
YALI1_C08923g,YALI2_C01063g
YALI1_C08952g,YALI2_C00115g
YALI1_C08983g,YALI2_C01062g
YALI1_C09009g,YALI2_C00116g
YALI1_C09033g,YALI2_C00117g
YALI1_C09072g,YALI2_C01061g
YALI1_C09094g,YALI2_C00118g
YALI1_C09150g,YALI2_C01060g
YALI1_C09200g,YALI2_C00119g
YALI1_C09230g,YALI2_C01059g
YALI1_C09260g,YALI2_C00120g
YALI1_C09285g,YALI2_C01058g
YALI1_C09308g,YALI2_C01057g
YALI1_C09343g,YALI2_C00121g
YALI1_C09380g,YALI2_C01056g
YALI1_C09390g,YALI2_C00122g
YALI1_C09415g,YALI2_C00123g
YALI1_C09451g,YALI2_C01055g
YALI1_C09467g,YALI2_C00124g
YALI1_C09489g,YALI2_C00125g
YALI1_C09552g,YALI2_C00126g
YALI1_C09606g,YALI2_C00127g
YALI1_C09639g,YALI2_C01054g
YALI1_C09667g,YALI2_C00128g
YALI1_C09696g,YALI2_C00129g
YALI1_C09718g,YALI2_C00130g
YALI1_C09750g,YALI2_C01053g
YALI1_C09773g,YALI2_C01052g
YALI1_C09851g,YALI2_C00131g
YALI1_C09923g,YALI2_C01051g
YALI1_C09950g,YALI2_C00132g
YALI1_C09977g,YALI2_C01050g
YALI1_C10016g,YALI2_C01049g
YALI1_C10041g,YALI2_C01048g
YALI1_C10121g,YALI2_C00133g
YALI1_C10173g,YALI2_C00134g
YALI1_C10203g,YALI2_C00135g
YALI1_C10232g,YALI2_C01046g
YALI1_C10271g,YALI2_C01045g
YALI1_C10293g,YALI2_C01044g
YALI1_C10318g,YALI2_C01043g
YALI1_C10345g,YALI2_C01042g
YALI1_C10385g,YALI2_C00136g
YALI1_C10463g,YALI2_C01041g
YALI1_C10480g,YALI2_C01040g
YALI1_C10492g,YALI2_C01039g
YALI1_C10497g,YALI2_C00137g
YALI1_C10555g,YALI2_C00138g
YALI1_C10675g,YALI2_C00139g
YALI1_C10718g,YALI2_C01038g
YALI1_C10730g,YALI2_C00140g
YALI1_C10762g,YALI2_C01037g
YALI1_C10806g,YALI2_C01036g
YALI1_C10860g,YALI2_C01035g
YALI1_C10990g,YALI2_C00141g
YALI1_C11077g,YALI2_C01034g
YALI1_C11096g,YALI2_C01033g
YALI1_C11100g,YALI2_C00142g
YALI1_C11131g,YALI2_C01032g
YALI1_C11234g,YALI2_C01031g
YALI1_C11271g,YALI2_C00146g
YALI1_C11382g,YALI2_C00147g
YALI1_C11441g,YALI2_C01030g
YALI1_C11501g,YALI2_C01029g
YALI1_C11521g,YALI2_C00148g
YALI1_C11552g,YALI2_C01028g
YALI1_C11581g,YALI2_C01027g
YALI1_C11589g,YALI2_C00149g
YALI1_C11707g,YALI2_C01026g
YALI1_C11715g,YALI2_C00151g
YALI1_C11744g,YALI2_C00152g
YALI1_C11773g,YALI2_C01025g
YALI1_C11819g,YALI2_C01024g
YALI1_C11836g,YALI2_C00153g
YALI1_C11862g,YALI2_C00154g
YALI1_C11883g,YALI2_C00155g
YALI1_C11902g,YALI2_C00156g
YALI1_C11925g,YALI2_C01023g
YALI1_C11930g,YALI2_C00157g
YALI1_C11954g,YALI2_C01022g
YALI1_C11970g,YALI2_C00159g
YALI1_C12007g,YALI2_C01021g
YALI1_C12024g,YALI2_C00160g
YALI1_C12038g,YALI2_C00161g
YALI1_C12121g,YALI2_C00162g
YALI1_C12140g,YALI2_C00163g
YALI1_C12170g,YALI2_C01020g
YALI1_C12194g,YALI2_C00164g
YALI1_C12220g,YALI2_C01019g
YALI1_C12282g,YALI2_C01018g
YALI1_C12317g,YALI2_C00165g
YALI1_C12333g,YALI2_C00166g
YALI1_C12406g,YALI2_C01017g
YALI1_C12513g,YALI2_C00167g
YALI1_C12619g,YALI2_C01016g
YALI1_C12642g,YALI2_C01015g
YALI1_C12695g,YALI2_C00168g
YALI1_C12725g,YALI2_C00169g
YALI1_C12755g,YALI2_C01014g
YALI1_C12788g,YALI2_C00170g
YALI1_C12845g,YALI2_C00171g
YALI1_C12883g,YALI2_C01013g
YALI1_C12900g,YALI2_C01012g
YALI1_C12941g,YALI2_C00172g
YALI1_C13000g,YALI2_C01011g
YALI1_C13007g,YALI2_C00174g
YALI1_C13026g,YALI2_C00175g
YALI1_C13038g,YALI2_C00176g
YALI1_C13093g,YALI2_C01010g
YALI1_C13106g,YALI2_C00177g
YALI1_C13162g,YALI2_C00178g
YALI1_C13186g,YALI2_C00179g
YALI1_C13227g,YALI2_C01009g
YALI1_C13241g,YALI2_C00180g
YALI1_C13261g,YALI2_C00181g
YALI1_C13284g,YALI2_C01008g
YALI1_C13302g,YALI2_C00182g
YALI1_C13355g,YALI2_C00183g
YALI1_C13410g,YALI2_C01007g
YALI1_C13453g,YALI2_C01006g
YALI1_C13506g,YALI2_C01005g
YALI1_C13522g,YALI2_C00184g
YALI1_C13560g,YALI2_C01004g
YALI1_C13642g,YALI2_C01003g
YALI1_C13652g,YALI2_C00185g
YALI1_C13689g,YALI2_C00186g
YALI1_C13726g,YALI2_C01002g
YALI1_C13768g,YALI2_C01001g
YALI1_C13817g,YALI2_C01000g
YALI1_C13856g,YALI2_C00187g
YALI1_C13890g,YALI2_C00189g
YALI1_C13973g,YALI2_C00190g
YALI1_C14079g,YALI2_C00999g
YALI1_C14106g,YALI2_C00998g
YALI1_C14125g,YALI2_C00191g
YALI1_C14169g,YALI2_C00997g
YALI1_C14183g,YALI2_C00192g
YALI1_C14228g,YALI2_C00193g
YALI1_C14273g,YALI2_C00996g
YALI1_C14369g,YALI2_C00194g
YALI1_C14450g,YALI2_C00195g
YALI1_C14498g,YALI2_C00995g
YALI1_C14516g,YALI2_C00196g
YALI1_C14595g,YALI2_C00994g
YALI1_C14709g,YALI2_C00993g
YALI1_C14738g,YALI2_C00198g
YALI1_C14774g,YALI2_C00992g
YALI1_C14787g,YALI2_C00199g
YALI1_C14818g,YALI2_C00991g
YALI1_C14843g,YALI2_C00200g
YALI1_C14884g,YALI2_C00990g
YALI1_C14931g,YALI2_C00201g
YALI1_C15048g,YALI2_C00989g
YALI1_C15077g,YALI2_C00988g
YALI1_C15084g,YALI2_C00202g
YALI1_C15105g,YALI2_C00987g
YALI1_C15115g,YALI2_C00203g
YALI1_C15180g,YALI2_C00986g
YALI1_C15186g,YALI2_C00204g
YALI1_C15201g,YALI2_C00985g
YALI1_C15217g,YALI2_C00984g
YALI1_C15297g,YALI2_C00205g
YALI1_C15322g,YALI2_C00206g
YALI1_C15359g,YALI2_C00983g
YALI1_C15398g,YALI2_C00207g
YALI1_C15420g,YALI2_C00208g
YALI1_C15445g,YALI2_C00982g
YALI1_C15465g,YALI2_C00209g
YALI1_C15489g,YALI2_C00981g
YALI1_C15492g,YALI2_C00210g
YALI1_C15526g,YALI2_C00980g
YALI1_C15610g,YALI2_C00979g
YALI1_C15674g,YALI2_C00978g
YALI1_C15687g,YALI2_C00211g
YALI1_C15707g,YALI2_C00212g
YALI1_C15776g,YALI2_C00977g
YALI1_C15803g,YALI2_C00976g
YALI1_C15832g,YALI2_C00975g
YALI1_C15945g,YALI2_C00974g
YALI1_C15964g,YALI2_C00213g
YALI1_C15991g,YALI2_C00214g
YALI1_C16080g,YALI2_C00973g
YALI1_C16091g,YALI2_C00215g
YALI1_C16108g,YALI2_C00216g
YALI1_C16150g,YALI2_B00096g
YALI1_C16183g,YALI2_B00564g
YALI1_C16200g,YALI2_B00563g
YALI1_C16204g,YALI2_B00097g
YALI1_C16255g,YALI2_B00562g
YALI1_C16275g,YALI2_B00098g
YALI1_C16305g,YALI2_B00099g
YALI1_C16333g,YALI2_B00561g
YALI1_C16378g,YALI2_B00560g
YALI1_C16395g,YALI2_B00100g
YALI1_C16420g,YALI2_B00101g
YALI1_C16431g,YALI2_B00102g
YALI1_C16485g,YALI2_B00559g
YALI1_C16515g,YALI2_B00558g
YALI1_C16572g,YALI2_B00103g
YALI1_C16621g,YALI2_B00557g
YALI1_C16653g,YALI2_B00104g
YALI1_C16712g,YALI2_B00105g
YALI1_C16770g,YALI2_B00556g
YALI1_C16851g,YALI2_B00106g
YALI1_C16932g,YALI2_B00555g
YALI1_C16961g,YALI2_B00554g
YALI1_C17031g,YALI2_B00553g
YALI1_C17050g,YALI2_B00107g
YALI1_C17078g,YALI2_B00552g
YALI1_C17100g,YALI2_B00108g
YALI1_C17163g,YALI2_B00109g
YALI1_C17187g,YALI2_B00110g
YALI1_C17238g,YALI2_B00111g
YALI1_C17411g,YALI2_B00551g
YALI1_C17453g,YALI2_B00112g
YALI1_C17566g,YALI2_B00113g
YALI1_C17580g,YALI2_B00114g
YALI1_C17609g,YALI2_B00550g
YALI1_C17640g,YALI2_B00549g
YALI1_C17680g,YALI2_B00548g
YALI1_C17700g,YALI2_B00547g
YALI1_C17719g,YALI2_B00546g
YALI1_C17728g,YALI2_B00545g
YALI1_C17763g,YALI2_B00544g
YALI1_C17782g,YALI2_B00543g
YALI1_C17800g,YALI2_B00542g
YALI1_C17820g,YALI2_B00115g
YALI1_C17848g,YALI2_B00116g
YALI1_C17932g,YALI2_B00541g
YALI1_C17947g,YALI2_B00540g
YALI1_C17949g,YALI2_B00117g
YALI1_C17988g,YALI2_B00539g
YALI1_C17995g,YALI2_B00118g
YALI1_C18011g,YALI2_B00119g
YALI1_C18073g,YALI2_B00538g
YALI1_C18099g,YALI2_B00537g
YALI1_C18209g,YALI2_B00120g
YALI1_C18258g,YALI2_B00535g
YALI1_C18268g,YALI2_B00121g
YALI1_C18396g,YALI2_B00534g
YALI1_C18478g,YALI2_B00533g
YALI1_C18541g,YALI2_B00122g
YALI1_C18590g,YALI2_B00532g
YALI1_C18668g,YALI2_B00531g
YALI1_C18750g,YALI2_B00530g
YALI1_C18771g,YALI2_B00123g
YALI1_C18806g,YALI2_B00124g
YALI1_C18837g,YALI2_B00125g
YALI1_C18872g,YALI2_B00529g
YALI1_C18892g,YALI2_B00528g
YALI1_C18901g,YALI2_B00126g
YALI1_C19005g,YALI2_B00127g
YALI1_C19151g,YALI2_B00128g
YALI1_C19316g,YALI2_B00129g
YALI1_C19348g,YALI2_B00527g
YALI1_C19395g,YALI2_B00130g
YALI1_C19450g,YALI2_B00132g
YALI1_C19500g,YALI2_B00526g
YALI1_C19510g,YALI2_B00133g
YALI1_C19529g,YALI2_B00134g
YALI1_C19636g,YALI2_B00525g
YALI1_C19735g,YALI2_B00524g
YALI1_C19775g,YALI2_B00135g
YALI1_C19794g,YALI2_B00523g
YALI1_C19814g,YALI2_B00136g
YALI1_C19840g,YALI2_B00137g
YALI1_C19866g,YALI2_B00522g
YALI1_C19872g,YALI2_B00138g
YALI1_C19898g,YALI2_B00139g
YALI1_C19943g,YALI2_B00140g
YALI1_C19981g,YALI2_B00141g
YALI1_C20023g,YALI2_B00521g
YALI1_C20054g,YALI2_B00520g
YALI1_C20078g,YALI2_B00519g
YALI1_C20097g,YALI2_B00142g
YALI1_C20140g,YALI2_B00518g
YALI1_C20180g,YALI2_B00517g
YALI1_C20198g,YALI2_B00143g
YALI1_C20224g,YALI2_B00144g
YALI1_C20255g,YALI2_B00516g
YALI1_C20270g,YALI2_B00515g
YALI1_C20314g,YALI2_B00145g
YALI1_C20329g,YALI2_B00514g
YALI1_C20364g,YALI2_B00146g
YALI1_C20396g,YALI2_B00147g
YALI1_C20417g,YALI2_B00513g
YALI1_C20429g,YALI2_B00148g
YALI1_C20452g,YALI2_B00512g
YALI1_C20488g,YALI2_B00149g
YALI1_C20559g,YALI2_B00150g
YALI1_C20597g,YALI2_B00151g
YALI1_C20646g,YALI2_B00511g
YALI1_C20793g,YALI2_B00510g
YALI1_C20853g,YALI2_B00509g
YALI1_C20901g,YALI2_B00508g
YALI1_C20953g,YALI2_B00507g
YALI1_C20964g,YALI2_B00506g
YALI1_C21083g,YALI2_B00505g
YALI1_C21171g,YALI2_B00152g
YALI1_C21234g,YALI2_B00504g
YALI1_C21241g,YALI2_B00153g
YALI1_C21298g,YALI2_B00503g
YALI1_C21353g,YALI2_B00502g
YALI1_C21401g,YALI2_B00154g
YALI1_C21448g,YALI2_B00155g
YALI1_C21487g,YALI2_B00501g
YALI1_C21544g,YALI2_B00500g
YALI1_C21578g,YALI2_B00156g
YALI1_C21603g,YALI2_B00499g
YALI1_C21626g,YALI2_B00157g
YALI1_C21634g,YALI2_B00498g
YALI1_C21639g,YALI2_B00158g
YALI1_C21682g,YALI2_B00159g
YALI1_C21722g,YALI2_B00160g
YALI1_C21755g,YALI2_B00161g
YALI1_C21789g,YALI2_B00497g
YALI1_C21891g,YALI2_B00162g
YALI1_C21924g,YALI2_B00496g
YALI1_C21946g,YALI2_B00495g
YALI1_C22186g,YALI2_B00493g
YALI1_C22322g,YALI2_B00163g
YALI1_C22592g,YALI2_B00164g
YALI1_C22751g,YALI2_B00490g
YALI1_C22816g,YALI2_B00165g
YALI1_C22835g,YALI2_B00489g
YALI1_C22857g,YALI2_B00488g
YALI1_C22922g,YALI2_B00166g
YALI1_C22944g,YALI2_B00167g
YALI1_C23040g,YALI2_B00486g
YALI1_C23050g,YALI2_B00168g
YALI1_C23075g,YALI2_B00169g
YALI1_C23150g,YALI2_B00170g
YALI1_C23175g,YALI2_B00171g
YALI1_C23193g,YALI2_B00172g
YALI1_C23217g,YALI2_B00485g
YALI1_C23254g,YALI2_B00173g
YALI1_C23323g,YALI2_B00484g
YALI1_C23359g,YALI2_B00174g
YALI1_C23415g,YALI2_B00175g
YALI1_C23472g,YALI2_B00483g
YALI1_C23504g,YALI2_B00482g
YALI1_C23511g,YALI2_B00176g
YALI1_C23526g,YALI2_B00177g
YALI1_C23548g,YALI2_B00481g
YALI1_C23563g,YALI2_B00480g
YALI1_C23601g,YALI2_B00179g
YALI1_C23707g,YALI2_B00479g
YALI1_C23738g,YALI2_B00478g
YALI1_C23755g,YALI2_B00181g
YALI1_C23818g,YALI2_B00477g
YALI1_C23826g,YALI2_B00182g
YALI1_C23873g,YALI2_B00476g
YALI1_C23881g,YALI2_B00183g
YALI1_C23902g,YALI2_B00475g
YALI1_C23926g,YALI2_B00474g
YALI1_C23948g,YALI2_B00473g
YALI1_C23989g,YALI2_B00184g
YALI1_C24016g,YALI2_B00185g
YALI1_C24081g,YALI2_B00472g
YALI1_C24124g,YALI2_B00186g
YALI1_C24165g,YALI2_B00471g
YALI1_C24200g,YALI2_B00187g
YALI1_C24262g,YALI2_B00188g
YALI1_C24303g,YALI2_B00470g
YALI1_C24367g,YALI2_B00189g
YALI1_C24400g,YALI2_B00190g
YALI1_C24419g,YALI2_B00469g
YALI1_C24434g,YALI2_B00191g
YALI1_C24460g,YALI2_B00192g
YALI1_C24488g,YALI2_B00193g
YALI1_C24526g,YALI2_B00468g
YALI1_C24533g,YALI2_B00194g
YALI1_C24567g,YALI2_B00195g
YALI1_C24611g,YALI2_B00196g
YALI1_C24647g,YALI2_B00465g
YALI1_C24660g,YALI2_B00197g
YALI1_C24707g,YALI2_B00464g
YALI1_C24730g,YALI2_B00198g
YALI1_C24755g,YALI2_B00463g
YALI1_C24767g,YALI2_B00199g
YALI1_C24806g,YALI2_B00462g
YALI1_C24850g,YALI2_B00461g
YALI1_C24891g,YALI2_B00460g
YALI1_C24927g,YALI2_B00459g
YALI1_C24951g,YALI2_B00200g
YALI1_C25029g,YALI2_B00458g
YALI1_C25032g,YALI2_B00201g
YALI1_C25069g,YALI2_B00457g
YALI1_C25093g,YALI2_B00202g
YALI1_C25128g,YALI2_B00456g
YALI1_C25171g,YALI2_B00203g
YALI1_C25190g,YALI2_B00204g
YALI1_C25244g,YALI2_B00205g
YALI1_C25257g,YALI2_B00206g
YALI1_C25288g,YALI2_B00455g
YALI1_C25301g,YALI2_B00454g
YALI1_C25307g,YALI2_B00207g
YALI1_C25336g,YALI2_B00453g
YALI1_C25352g,YALI2_B00452g
YALI1_C25367g,YALI2_B00451g
YALI1_C25377g,YALI2_B00208g
YALI1_C25391g,YALI2_B00209g
YALI1_C25452g,YALI2_B00210g
YALI1_C25512g,YALI2_B00448g
YALI1_C25560g,YALI2_B00447g
YALI1_C25576g,YALI2_B00446g
YALI1_C25581g,YALI2_B00211g
YALI1_C25598g,YALI2_B00212g
YALI1_C25621g,YALI2_B00445g
YALI1_C25629g,YALI2_B00213g
YALI1_C25703g,YALI2_B00214g
YALI1_C25758g,YALI2_B00215g
YALI1_C25782g,YALI2_B00444g
YALI1_C25789g,YALI2_B00216g
YALI1_C25829g,YALI2_B00217g
YALI1_C25877g,YALI2_B00218g
YALI1_C25937g,YALI2_B00443g
YALI1_C25979g,YALI2_B00442g
YALI1_C25990g,YALI2_B00441g
YALI1_C25998g,YALI2_B00440g
YALI1_C26017g,YALI2_B00439g
YALI1_C26027g,YALI2_B00219g
YALI1_C26036g,YALI2_B00220g
YALI1_C26051g,YALI2_B00221g
YALI1_C26106g,YALI2_B00222g
YALI1_C26138g,YALI2_B00438g
YALI1_C26146g,YALI2_B00223g
YALI1_C26167g,YALI2_B00224g
YALI1_C26222g,YALI2_B00225g
YALI1_C26276g,YALI2_B00437g
YALI1_C26332g,YALI2_B00436g
YALI1_C26377g,YALI2_B00226g
YALI1_C26408g,YALI2_B00227g
YALI1_C26501g,YALI2_B00228g
YALI1_C26544g,YALI2_B00229g
YALI1_C26580g,YALI2_B00435g
YALI1_C26616g,YALI2_B00434g
YALI1_C26628g,YALI2_B00433g
YALI1_C26726g,YALI2_B00230g
YALI1_C26764g,YALI2_B00432g
YALI1_C26794g,YALI2_B00232g
YALI1_C26837g,YALI2_B00431g
YALI1_C26873g,YALI2_B00233g
YALI1_C26915g,YALI2_B00430g
YALI1_C26939g,YALI2_B00429g
YALI1_C26959g,YALI2_B00428g
YALI1_C26975g,YALI2_B00235g
YALI1_C27012g,YALI2_B00427g
