YALI1,YALI2
YALI1_A05168g,YALI2_A00610g
YALI1_A05210g,YALI2_A00609g
YALI1_A05220g,YALI2_A00608g
YALI1_A05229g,YALI2_A00089g
YALI1_A05254g,YALI2_A00607g
YALI1_A05259g,YALI2_A00090g
YALI1_A05335g,YALI2_A00606g
YALI1_A05407g,YALI2_A00091g
YALI1_A05459g,YALI2_A00605g
YALI1_A05473g,YALI2_A00092g
YALI1_A05491g,YALI2_A00604g
YALI1_A05527g,YALI2_A00093g
YALI1_A05571g,YALI2_A00603g
YALI1_A05605g,YALI2_A00094g
YALI1_A05662g,YALI2_A00602g
YALI1_A05701g,YALI2_A00601g
YALI1_A05774g,YALI2_A00600g
YALI1_A05795g,YALI2_A00599g
YALI1_A05821g,YALI2_A00095g
YALI1_A05884g,YALI2_A00598g
YALI1_A05904g,YALI2_A00597g
YALI1_A05987g,YALI2_A00595g
YALI1_A06052g,YALI2_A00096g
YALI1_A06073g,YALI2_A00594g
YALI1_A06099g,YALI2_A00593g
YALI1_A06116g,YALI2_A00097g
YALI1_A06128g,YALI2_A00098g
YALI1_A06149g,YALI2_A00099g
YALI1_A06169g,YALI2_A00592g
YALI1_A06229g,YALI2_A00100g
YALI1_A06287g,YALI2_A00590g
YALI1_A06361g,YALI2_A00589g
YALI1_A06381g,YALI2_A00588g
YALI1_A06396g,YALI2_A00101g
YALI1_A06416g,YALI2_A00586g
YALI1_A06434g,YALI2_A00585g
YALI1_A06453g,YALI2_A00584g
YALI1_A06473g,YALI2_A00102g
YALI1_A06488g,YALI2_A00583g
YALI1_A06530g,YALI2_A00582g
YALI1_A06591g,YALI2_A00581g
YALI1_A06594g,YALI2_A00103g
YALI1_A06612g,YALI2_A00580g
YALI1_A06640g,YALI2_A00104g
YALI1_A06666g,YALI2_A00579g
YALI1_A06672g,YALI2_A00105g
YALI1_A06721g,YALI2_A00106g
YALI1_A06743g,YALI2_A00578g
YALI1_A06778g,YALI2_A00107g
YALI1_A06873g,YALI2_A00576g
YALI1_A06958g,YALI2_A00108g
YALI1_A06989g,YALI2_A00575g
YALI1_A07014g,YALI2_A00574g
YALI1_A07051g,YALI2_A00109g
YALI1_A07103g,YALI2_A00573g
YALI1_A07137g,YALI2_A00572g
YALI1_A07201g,YALI2_A00110g
YALI1_A07267g,YALI2_A00571g
YALI1_A07290g,YALI2_A00111g
YALI1_A07309g,YALI2_A00570g
YALI1_A07318g,YALI2_A00112g
YALI1_A07326g,YALI2_A00113g
YALI1_A07349g,YALI2_A00569g
YALI1_A07381g,YALI2_A00114g
YALI1_A07405g,YALI2_A00115g
YALI1_A07418g,YALI2_A00568g
YALI1_A07472g,YALI2_A00567g
YALI1_A07538g,YALI2_A00117g
YALI1_A07575g,YALI2_A00118g
YALI1_A07624g,YALI2_A00566g
YALI1_A07649g,YALI2_A00119g
YALI1_A07668g,YALI2_A00120g
YALI1_A07712g,YALI2_A00121g
YALI1_A07730g,YALI2_A00565g
YALI1_A07768g,YALI2_A00122g
YALI1_A07829g,YALI2_A00123g
YALI1_A07887g,YALI2_A00563g
YALI1_A07937g,YALI2_A00562g
YALI1_A07977g,YALI2_A00124g
YALI1_A08073g,YALI2_A00125g
YALI1_A08107g,YALI2_A00127g
YALI1_A08175g,YALI2_A00561g
YALI1_A08206g,YALI2_A00128g
YALI1_A08424g,YALI2_A00560g
YALI1_A08436g,YALI2_A00130g
YALI1_A08467g,YALI2_A00559g
YALI1_A08468g,YALI2_A00131g
YALI1_A08486g,YALI2_A00132g
YALI1_A08502g,YALI2_A00558g
YALI1_A08512g,YALI2_A00133g
YALI1_A08546g,YALI2_A00134g
YALI1_A08614g,YALI2_A00557g
YALI1_A08623g,YALI2_A00135g
YALI1_A08672g,YALI2_A00136g
YALI1_A08729g,YALI2_A00556g
YALI1_A08781g,YALI2_A00555g
YALI1_A08787g,YALI2_A00137g
YALI1_A08828g,YALI2_A00554g
YALI1_A08856g,YALI2_A00553g
YALI1_A08901g,YALI2_A00138g
YALI1_A08981g,YALI2_A00552g
YALI1_A09010g,YALI2_A00551g
YALI1_A09064g,YALI2_A00550g
YALI1_A09100g,YALI2_A00549g
YALI1_A09121g,YALI2_A00139g
YALI1_A09139g,YALI2_A00140g
YALI1_A09149g,YALI2_A00141g
YALI1_A09166g,YALI2_A00142g
YALI1_A09190g,YALI2_A00143g
YALI1_A09218g,YALI2_A00144g
YALI1_A09325g,YALI2_A00145g
YALI1_A09372g,YALI2_A00146g
YALI1_A09397g,YALI2_A00548g
YALI1_A09408g,YALI2_A00547g
YALI1_A09422g,YALI2_A00147g
YALI1_A09444g,YALI2_A00148g
YALI1_A09467g,YALI2_A00149g
YALI1_A09522g,YALI2_A00546g
YALI1_A09524g,YALI2_A00150g
YALI1_A09553g,YALI2_A00151g
YALI1_A09576g,YALI2_A00545g
YALI1_A09593g,YALI2_A00152g
YALI1_A09626g,YALI2_A00544g
YALI1_A09638g,YALI2_A00153g
YALI1_A09654g,YALI2_A00543g
YALI1_A09694g,YALI2_A00154g
YALI1_A09766g,YALI2_A00542g
YALI1_A09787g,YALI2_A00541g
YALI1_A09798g,YALI2_A00155g
YALI1_A09856g,YALI2_A00156g
YALI1_A09893g,YALI2_A00540g
