,#proteinId,kogid,kogdefline,kogClass,kogGroup,definition,catalyticActivity,pathway,pathway_class,pathway_type,ecNum,cofactors,gotermId,gotermType,goName,goAcc
10,26,['KOG0964'],"['Structural maintenance of chromosome protein 3 (sister chromatid cohesion complex Cohesin, subunit SMC3)']","['Cell cycle control, cell division, chromosome partitioning ']",['METABOLISM'],,,,,,,,"[3736, 3891, 4420, 3727, 24525]","['molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'biological_process']","['ATP binding', 'chromosome', 'DNA metabolic process', 'protein binding', 'chromosome organization and biogenesis']","['GO:0005524', 'GO:0005694', 'GO:0006259', 'GO:0005515', 'GO:0051276']"
11,27,['KOG3178'],['Hydroxyindole-O-methyltransferase and related SAM-dependent methyltransferases'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,,,,
12,32,['KOG0504'],['FOG: Ankyrin repeat'],['General function prediction only '],['POORLY CHARACTERIZED'],"['Glycerophosphodiester phosphodiesterase.', 'Glycerophosphodiester phosphodiesterase.']","['A glycerophosphodiester + H(2)O = an alcohol + sn-glycerol 3-phosphate.', 'A glycerophosphodiester + H(2)O = an alcohol + sn-glycerol 3-phosphate.']","['Phospholipid degradation', 'Glycerolipid metabolism']","['Metabolism of Complex Lipids', 'Metabolism of Complex Lipids']","['METABOLIC', 'METABOLIC']","['3.1.4.46', '3.1.4.46']","['\\N', '\\N']",[6505],['molecular_function'],['glycerophosphodiester phosphodiesterase activity'],['GO:0008889']
13,33,"['KOG1672', 'KOG1672']","['ATP binding protein', 'ATP binding protein']","['Energy production and conversion ', 'Posttranslational modification, protein turnover, chaperones ']","['METABOLISM', 'CELLULAR PROCESSES AND SIGNALING']",,,,,,,,,,,
14,34,['KOG1144'],['Translation initiation factor 5B (eIF-5B)'],"['Translation, ribosomal structure and biogenesis ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[2378, 3737]","['molecular_function', 'molecular_function']","['GTPase activity', 'GTP binding']","['GO:0003924', 'GO:0005525']"
15,37,['KOG1575'],"['Voltage-gated shaker-like K+ channel, subunit beta/KCNAB']",['Energy production and conversion '],['METABOLISM'],"['With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.']","['\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N']","['Bile acid biosynthesis', 'Vitamin B6 metabolism', 'Glycine, serine and threonine metabolism', 'Butanoate metabolism', 'Fructose and mannose metabolism', 'Galactose metabolism', 'Lysine degradation', 'Nucleotide sugars metabolism', 'Ascorbate and aldarate metabolism', 'Tetrachloroethene degradation', 'Benzoate degradation via CoA ligation', 'Glycerolipid metabolism']","['Lipid Metabolism', 'Metabolism of Cofactors and Vitamins', 'Amino Acid Metabolism', 'Carbohydrate Metabolism', 'Carbohydrate Metabolism', 'Carbohydrate Metabolism', 'Amino Acid Metabolism', 'Nucleotide Metabolism', 'Carbohydrate Metabolism', 'Biodegradation of Xenobiotics', 'Biodegradation of Xenobiotics', 'Metabolism of Complex Lipids']","['METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC']","['1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-']","['\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N']","[247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
16,38,['KOG2533'],['Permease of the major facilitator superfamily'],['Carbohydrate transport and metabolism '],['METABOLISM'],,,,,,,,,,,
17,39,['KOG0371'],"['Serine/threonine protein phosphatase 2A, catalytic subunit']",['Signal transduction mechanisms '],['CELLULAR PROCESSES AND SIGNALING'],['Serine/threonine specific protein phosphatase.'],['A phosphoprotein + H(2)O = a protein + phosphate.'],['\\N'],['\\N'],['\\N'],['3.1.3.16'],['\\N'],"[9985, 3087, 3089, 3090, 4132, 6080, 6240, 10186, 10187, 10190]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'cellular_component', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'cellular_component']","['hydrolase activity', 'phosphoprotein phosphatase activity', 'calcium-dependent protein serine/threonine phosphatase activity', 'magnesium-dependent protein serine/threonine phosphatase activity', 'magnesium-dependent protein serine/threonine phosphatase complex', 'CTD phosphatase activity', 'calcium-dependent protein serine/threonine phosphatase regulator activity', 'myosin phosphatase activity', 'myosin phosphatase regulator activity', 'myosin phosphatase complex']","['GO:0016787', 'GO:0004721', 'GO:0004723', 'GO:0004724', 'GO:0005963', 'GO:0008420', 'GO:0008597', 'GO:0017018', 'GO:0017020', 'GO:0017023']"
18,40,['KOG1386'],['Nucleoside phosphatase'],['Nucleotide transport and metabolism '],['METABOLISM'],"['Apyrase.', 'Apyrase.']","['ATP + 2 H(2)O = AMP + 2 phosphate.', 'ATP + 2 H(2)O = AMP + 2 phosphate.']","['Purine metabolism', 'Pyrimidine metabolism']","['Nucleotide Metabolism', 'Nucleotide Metabolism']","['METABOLIC', 'METABOLIC']","['3.6.1.5', '3.6.1.5']","['Calcium.', 'Calcium.']","[9985, 2492, 18750]","['molecular_function', 'molecular_function', 'molecular_function']","['hydrolase activity', 'apyrase activity', 'adenosine-diphosphatase activity']","['GO:0016787', 'GO:0004050', 'GO:0043262']"
19,44,,,,,,,,,,,,"[5765, 5830]","['molecular_function', 'biological_process']","['N-acetyltransferase activity', 'metabolic process']","['GO:0008080', 'GO:0008152']"
