,#proteinId,kogid,kogdefline,kogClass,kogGroup,definition,catalyticActivity,pathway,pathway_class,pathway_type,ecNum,cofactors,gotermId,gotermType,goName,goAcc
167,354,['KOG2592'],['Tumor differentially expressed (TDE) protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,[9320],['cellular_component'],['membrane'],['GO:0016020']
168,358,['KOG0546'],['HSP90 co-chaperone CPR7/Cyclophilin'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],['Peptidylprolyl isomerase.'],['Peptidylproline (omega=180) = peptidylproline (omega=0).'],['\\N'],['\\N'],['\\N'],['5.2.1.8'],['\\N'],"[2233, 4591, 2975, 12948, 17567]","['molecular_function', 'biological_process', 'molecular_function', 'molecular_function', 'molecular_function']","['peptidyl-prolyl cis-trans isomerase activity', 'protein folding', 'cyclophilin', 'FK506-sensitive peptidyl-prolyl cis-trans isomerase', 'cyclophilin-type peptidyl-prolyl cis-trans isomerase activity']","['GO:0003755', 'GO:0006457', 'GO:0004600', 'GO:0030051', 'GO:0042027']"
169,364,['KOG1153'],['Subtilisin-related protease/Vacuolar protease B'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],['Cerevisin.'],"['Hydrolysis of proteins with broad specificity, and of BZ-Arg-OET > Ac-Tyr-OET. Does not hydrolyse peptide amides.']",['\\N'],['\\N'],['\\N'],['3.4.21.48'],['\\N'],"[2700, 4639, 2687]","['molecular_function', 'biological_process', 'molecular_function']","['subtilase activity', 'proteolysis', 'cerevisin activity']","['GO:0004289', 'GO:0006508', 'GO:0004262']"
170,365,['KOG4680'],"['Uncharacterized conserved protein, contains ML domain']",['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,,,,
171,367,['KOG2533'],['Permease of the major facilitator superfamily'],['Carbohydrate transport and metabolism '],['METABOLISM'],,,,,,,,,,,
172,369,['KOG1637'],['Threonyl-tRNA synthetase'],"['Translation, ribosomal structure and biogenesis ']",['INFORMATION STORAGE AND PROCESSING'],"['Threonine--tRNA ligase.', 'Threonine--tRNA ligase.']","['ATP + L-threonine + tRNA(Thr) = AMP + diphosphate + L-threonyl- tRNA(Thr).', 'ATP + L-threonine + tRNA(Thr) = AMP + diphosphate + L-threonyl- tRNA(Thr).']","['Glycine, serine and threonine metabolism', '  Aminoacyl-tRNA biosynthesis']","['Amino Acid Metabolism', 'TRANSLATION']","['METABOLIC', 'REGULATORY']","['6.1.1.3', '6.1.1.3']","['\\N', '\\N']","[162, 3172, 3736, 3930, 4556, 4561, 3189, 4578]","['molecular_function', 'molecular_function', 'molecular_function', 'cellular_component', 'biological_process', 'biological_process', 'molecular_function', 'biological_process']","['nucleotide binding', 'aminoacyl-tRNA ligase activity', 'ATP binding', 'cytoplasm', 'translation', 'tRNA aminoacylation for protein translation', 'threonine-tRNA ligase activity', 'threonyl-tRNA aminoacylation']","['GO:0000166', 'GO:0004812', 'GO:0005524', 'GO:0005737', 'GO:0006412', 'GO:0006418', 'GO:0004829', 'GO:0006435']"
173,373,['KOG3035'],['Isoamyl acetate-hydrolyzing esterase'],['Lipid transport and metabolism '],['METABOLISM'],,,,,,,,"[4758, 9986]","['biological_process', 'molecular_function']","['lipid metabolic process', 'hydrolase activity, acting on ester bonds']","['GO:0006629', 'GO:0016788']"
174,375,['KOG0783'],"['Uncharacterized conserved protein, contains ankyrin and BTB/POZ domains']",['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,[3727],['molecular_function'],['protein binding'],['GO:0005515']
175,377,"['KOG0082', 'KOG0082']","['G-protein alpha subunit (small G protein superfamily)', 'G-protein alpha subunit (small G protein superfamily)']","['Cell cycle control, cell division, chromosome partitioning ', 'Signal transduction mechanisms ']","['METABOLISM', 'CELLULAR PROCESSES AND SIGNALING']",,,,,,,,"[3228, 5270, 11290, 5250]","['molecular_function', 'biological_process', 'molecular_function', 'biological_process']","['signal transducer activity', 'G-protein coupled receptor protein signaling pathway', 'guanyl nucleotide binding', 'signal transduction']","['GO:0004871', 'GO:0007186', 'GO:0019001', 'GO:0007165']"
176,379,['KOG2920'],['Predicted methyltransferase'],['General function prediction only '],['POORLY CHARACTERIZED'],['Nicotinamide N-methyltransferase.'],['S-adenosyl-L-methionine + nicotinamide = S-adenosyl-L-homocysteine + 1-methylnicotinamide.'],['Nicotinate and nicotinamide metabolism'],['Metabolism of Cofactors and Vitamins'],['METABOLIC'],['2.1.1.1'],['\\N'],[5794],['molecular_function'],['nicotinamide N-methyltransferase activity'],['GO:0008112']
177,380,['KOG0274'],['Cdc4 and related F-box and WD-40 proteins'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,,,,
178,381,['KOG4760'],['Uncharacterized conserved protein'],['Function unknown '],['POORLY CHARACTERIZED'],['Acting on ester bonds.'],['\\N'],['\\N'],['\\N'],['\\N'],['3.1.-.-'],['\\N'],"[2909, 18089, 19229]","['molecular_function', 'molecular_function', 'molecular_function']","['nuclease activity', 'phosphoric ester hydrolase activity', 'T/G mismatch-specific endonuclease activity']","['GO:0004518', 'GO:0042578', 'GO:0043765']"
179,382,['KOG4673'],"['Transcription factor TMF, TATA element modulatory factor']",['Transcription '],['INFORMATION STORAGE AND PROCESSING'],,,,,,,,,,,
180,383,['KOG0218'],['Mismatch repair MSH3'],"['Replication, recombination and repair ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[3736, 4457, 13828]","['molecular_function', 'biological_process', 'molecular_function']","['ATP binding', 'mismatch repair', 'mismatched DNA binding']","['GO:0005524', 'GO:0006298', 'GO:0030983']"
181,384,['KOG3303'],"['Predicted alpha-helical protein, potentially involved in replication/repair']","['Replication, recombination and repair ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,,,,
182,385,['KOG2960'],['Protein involved in thiamine biosynthesis and DNA damage tolerance'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,[6833],['biological_process'],['thiamin biosynthetic process'],['GO:0009228']
183,386,['KOG2830'],['Protein phosphatase 2A-associated protein'],['Signal transduction mechanisms '],['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[7187, 7535]","['biological_process', 'biological_process']","['response to biotic stimulus', 'regulation of signal transduction']","['GO:0009607', 'GO:0009966']"
184,387,['KOG3870'],['Uncharacterized conserved protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
185,388,['KOG0314'],['Predicted E3 ubiquitin ligase'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],['Ubiquitin--protein ligase.'],['ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.'],['\\N'],['\\N'],['\\N'],['6.3.2.19'],['\\N'],"[2175, 5939, 3200, 24685, 24687, 24690, 24691]","['molecular_function', 'molecular_function', 'molecular_function', 'biological_process', 'biological_process', 'biological_process', 'biological_process']","['nucleic acid binding', 'zinc ion binding', 'ubiquitin-protein ligase activity', 'regulation of ubiquitin-protein ligase activity', 'regulation of ubiquitin-protein ligase activity during meiotic cell cycle', 'positive regulation of ubiquitin-protein ligase activity', 'negative regulation of ubiquitin-protein ligase activity']","['GO:0003676', 'GO:0008270', 'GO:0004842', 'GO:0051438', 'GO:0051440', 'GO:0051443', 'GO:0051444']"
186,389,['KOG3142'],['Prenylated rab acceptor 1'],"['Intracellular trafficking, secretion, and vesicular transport ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,,,,
187,391,['KOG2040'],['Glycine dehydrogenase (decarboxylating)'],['Amino acid transport and metabolism '],['METABOLISM'],['Glycine dehydrogenase (decarboxylating).'],['Glycine + lipoylprotein = S-aminomethyldihydrolipoylprotein + CO(2).'],"['Glycine, serine and threonine metabolism']",['Amino Acid Metabolism'],['METABOLIC'],['1.4.4.2'],['Pyridoxal-phosphate.'],"[2781, 4674, 2780]","['molecular_function', 'biological_process', 'molecular_function']","['glycine dehydrogenase (decarboxylating) activity', 'glycine metabolic process', 'glycine cleavage system']","['GO:0004375', 'GO:0006544', 'GO:0004374']"
188,392,['KOG3752'],['Ribonuclease H'],"['Replication, recombination and repair ']",['INFORMATION STORAGE AND PROCESSING'],['Ribonuclease H.'],"[""Endonucleolytic cleavage to 5'-phosphomonoester.""]",['\\N'],['\\N'],['\\N'],['3.1.26.4'],['\\N'],"[2175, 2914]","['molecular_function', 'molecular_function']","['nucleic acid binding', 'ribonuclease H activity']","['GO:0003676', 'GO:0004523']"
189,393,['KOG1352'],"['Vacuolar H+-ATPase V1 sector, subunit A']",['Energy production and conversion '],['METABOLISM'],"['H(+)-transporting two-sector ATPase.', 'H(+)-transporting two-sector ATPase.', 'H(+)-transporting two-sector ATPase.']","['ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).', 'ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).', 'ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).']","['ATP synthesis', '  Flagellar assembly', '  Type III secretion system']","['Energy Metabolism', '\\N', 'SORTING AND DEGRADATION']","['METABOLIC', '\\N', 'REGULATORY']","['3.6.3.14', '3.6.3.14', '3.6.3.14']","['\\N', '\\N', '\\N']","[8445, 9691, 9292, 21355, 21380, 2390, 19729]","['molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'molecular_function', 'molecular_function', 'cellular_component']","['hydrogen ion transmembrane transporter activity', 'proton-transporting two-sector ATPase complex', 'ATP synthesis coupled proton transport', 'hydrogen ion transporting ATP synthase activity, rotational mechanism', 'hydrogen ion transporting ATPase activity, rotational mechanism', 'hydrogen-transporting two-sector ATPase activity', 'proton-transporting ATP synthase complex']","['GO:0015078', 'GO:0016469', 'GO:0015986', 'GO:0046933', 'GO:0046961', 'GO:0003936', 'GO:0045259']"
190,397,['KOG3436'],['60S ribosomal protein L35'],"['Translation, ribosomal structure and biogenesis ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[2227, 3827, 4025, 4556]","['molecular_function', 'cellular_component', 'cellular_component', 'biological_process']","['structural constituent of ribosome', 'intracellular', 'ribosome', 'translation']","['GO:0003735', 'GO:0005622', 'GO:0005840', 'GO:0006412']"
191,398,['KOG2090'],['Metalloendopeptidase family - mitochondrial intermediate peptidase'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],['Mitochondrial intermediate peptidase.'],['Release of an N-terminal octapeptide as second stage of processing of some proteins imported in the mitochondrion.'],['\\N'],['\\N'],['\\N'],['3.4.24.59'],['Zinc.'],"[2658, 4639, 2673]","['molecular_function', 'biological_process', 'molecular_function']","['metalloendopeptidase activity', 'proteolysis', 'mitochondrial intermediate peptidase activity']","['GO:0004222', 'GO:0006508', 'GO:0004243']"
192,399,['KOG3290'],['Peroxisomal phytanoyl-CoA hydroxylase'],['Lipid transport and metabolism '],['METABOLISM'],['Phytanoyl-CoA dioxygenase.'],['Phytanoyl-CoA + 2-oxoglutarate + O(2) = 2-hydroxyphytanoyl-CoA + succinate + CO(2).'],['\\N'],['\\N'],['\\N'],['1.14.11.18'],['2-oxoglutarate; Fe(II); Ascorbate.'],[22608],['molecular_function'],['phytanoyl-CoA dioxygenase activity'],['GO:0048244']
193,400,['KOG2525'],['Folylpolyglutamate synthase'],['Coenzyme transport and metabolism '],['METABOLISM'],['Folylpolyglutamate synthase.'],['ATP + {tetrahydrofolyl-[Glu]}(N) + L-glutamate = ADP + phosphate + {tetrahydrofolyl-[Glu]}(N+1).'],['Folate biosynthesis'],['Metabolism of Cofactors and Vitamins'],['METABOLIC'],['6.3.2.17'],['\\N'],"[2733, 3736, 6988, 6667, 10069]","['molecular_function', 'molecular_function', 'biological_process', 'biological_process', 'molecular_function']","['tetrahydrofolylpolyglutamate synthase activity', 'ATP binding', 'folic acid and derivative biosynthetic process', 'biosynthetic process', 'ligase activity']","['GO:0004326', 'GO:0005524', 'GO:0009396', 'GO:0009058', 'GO:0016874']"
194,402,['KOG1459'],['Squalene synthetase'],['Lipid transport and metabolism '],['METABOLISM'],"['Farnesyl-diphosphate farnesyltransferase.', 'Farnesyl-diphosphate farnesyltransferase.']","['2 farnesyl diphosphate = diphosphate + presqualene diphosphate.', '2 farnesyl diphosphate = diphosphate + presqualene diphosphate.']","['Sterol biosynthesis', 'Terpenoid biosynthesis']","['Lipid Metabolism', 'Biosynthesis of Secondary Metabolites']","['METABOLIC', 'METABOLIC']","['2.5.1.21', '2.5.1.21']","['\\N', '\\N']","[6667, 9940, 2717, 6248, 9321]","['biological_process', 'molecular_function', 'molecular_function', 'biological_process', 'cellular_component']","['biosynthetic process', 'transferase activity', 'farnesyl-diphosphate farnesyltransferase activity', 'lipid biosynthetic process', 'integral to membrane']","['GO:0009058', 'GO:0016740', 'GO:0004310', 'GO:0008610', 'GO:0016021']"
195,403,['KOG3886'],['GTP-binding protein'],['Signal transduction mechanisms '],['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[3737, 3838, 3930]","['molecular_function', 'cellular_component', 'cellular_component']","['GTP binding', 'nucleus', 'cytoplasm']","['GO:0005525', 'GO:0005634', 'GO:0005737']"
196,404,['KOG4693'],"['Uncharacterized conserved protein, contains kelch repeat']",['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,[3727],['molecular_function'],['protein binding'],['GO:0005515']
197,406,['KOG2688'],['Transcription-associated recombination protein - Thp1p'],"['Cell cycle control, cell division, chromosome partitioning ']",['METABOLISM'],,,,,,,,,,,
198,408,['KOG1153'],['Subtilisin-related protease/Vacuolar protease B'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],['Cerevisin.'],"['Hydrolysis of proteins with broad specificity, and of BZ-Arg-OET > Ac-Tyr-OET. Does not hydrolyse peptide amides.']",['\\N'],['\\N'],['\\N'],['3.4.21.48'],['\\N'],"[2700, 4639, 2687]","['molecular_function', 'biological_process', 'molecular_function']","['subtilase activity', 'proteolysis', 'cerevisin activity']","['GO:0004289', 'GO:0006508', 'GO:0004262']"
199,409,['KOG0590'],['Checkpoint kinase and related serine/threonine protein kinases'],"['Cell cycle control, cell division, chromosome partitioning ']",['METABOLISM'],,,,,,,,"[3043, 3736, 4602, 3045, 3046, 3047, 3048, 3049, 3050, 3051, 3057, 3061, 3062, 3063, 3065, 3067, 3068, 3070, 3071, 3072, 3074, 3076, 3077, 3084, 6004, 6005, 6015, 6196, 10102, 10103, 11472, 12154, 17037]","['molecular_function', 'molecular_function', 'biological_process', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['protein kinase activity', 'ATP binding', 'protein amino acid phosphorylation', 'protein serine/threonine kinase activity', 'transmembrane receptor protein serine/threonine kinase activity', '3-phosphoinositide-dependent protein kinase activity', 'DNA-dependent protein kinase activity', 'AMP-activated protein kinase activity', 'casein kinase activity', 'casein kinase I activity', 'cyclic nucleotide-dependent protein kinase activity', 'eukaryotic translation initiation factor 2alpha kinase activity', 'galactosyltransferase-associated kinase activity', 'glycogen synthase kinase 3 activity', 'calcium-dependent protein kinase C activity', 'atypical protein kinase C activity', 'receptor signaling protein serine/threonine kinase activity', 'NF-kappaB-inducing kinase activity', 'JUN kinase activity', 'JUN kinase kinase kinase activity', 'MAP kinase kinase activity', 'MAP/ERK kinase kinase activity', 'ribosomal protein S6 kinase activity', 'Janus kinase activity', 'MAP kinase 1 activity', 'MP kinase activity', 'MAP kinase kinase kinase kinase activity', 'JUN kinase kinase activity', 'MAP kinase 2 activity', 'SAP kinase activity', 'transmembrane receptor protein kinase activity', 'cyclin-dependent protein kinase activating kinase activity', 'GTP-dependent protein kinase activity']","['GO:0004672', 'GO:0005524', 'GO:0006468', 'GO:0004674', 'GO:0004675', 'GO:0004676', 'GO:0004677', 'GO:0004679', 'GO:0004680', 'GO:0004681', 'GO:0004690', 'GO:0004694', 'GO:0004695', 'GO:0004696', 'GO:0004698', 'GO:0004700', 'GO:0004702', 'GO:0004704', 'GO:0004705', 'GO:0004706', 'GO:0004708', 'GO:0004710', 'GO:0004711', 'GO:0004718', 'GO:0008338', 'GO:0008339', 'GO:0008349', 'GO:0008545', 'GO:0016908', 'GO:0016909', 'GO:0019199', 'GO:0019912', 'GO:0034211']"
200,410,['KOG2149'],['Uncharacterized conserved protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
201,411,['KOG3318'],['Predicted membrane protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
202,412,"['KOG4626', 'KOG4626', 'KOG4626']","['O-linked N-acetylglucosamine transferase OGT', 'O-linked N-acetylglucosamine transferase OGT', 'O-linked N-acetylglucosamine transferase OGT']","['Carbohydrate transport and metabolism ', 'Posttranslational modification, protein turnover, chaperones ', 'Signal transduction mechanisms ']","['METABOLISM', 'CELLULAR PROCESSES AND SIGNALING', 'CELLULAR PROCESSES AND SIGNALING']",,,,,,,,,,,
203,413,['KOG2698'],['GTP cyclohydrolase I'],['Coenzyme transport and metabolism '],['METABOLISM'],['GTP cyclohydrolase I.'],"['GTP + 2 H(2)O = formate + 2-amino-4-hydroxy-6-(erythro-1,2,3- trihydroxypropyl)dihydropteridine triphosphate.']",['Folate biosynthesis'],['Metabolism of Cofactors and Vitamins'],['METABOLIC'],['3.5.4.16'],['\\N'],"[2388, 3930, 11702]","['molecular_function', 'cellular_component', 'biological_process']","['GTP cyclohydrolase I activity', 'cytoplasm', 'aromatic compound biosynthetic process']","['GO:0003934', 'GO:0005737', 'GO:0019438']"
204,415,['KOG3730'],['Acyl-CoA:dihydroxyactetone-phosphate acyltransferase DHAPAT'],['Lipid transport and metabolism '],['METABOLISM'],['Glycerone-phosphate O-acyltransferase.'],['Acyl-CoA + glycerone phosphate = CoA + acylglycerone phosphate.'],['Glycerolipid metabolism'],['Metabolism of Complex Lipids'],['METABOLIC'],['2.3.1.42'],['\\N'],"[5830, 6075, 9563]","['biological_process', 'molecular_function', 'molecular_function']","['metabolic process', 'acyltransferase activity', 'glycerone-phosphate O-acyltransferase activity']","['GO:0008152', 'GO:0008415', 'GO:0016287']"
205,416,['KOG4569'],['Predicted lipase'],['Lipid transport and metabolism '],['METABOLISM'],['Triacylglycerol lipase.'],['Triacylglycerol + H(2)O = diacylglycerol + a fatty acid anion.'],['Glycerolipid metabolism'],['Metabolism of Complex Lipids'],['METABOLIC'],['3.1.1.3'],['\\N'],"[3166, 4758]","['molecular_function', 'biological_process']","['triacylglycerol lipase activity', 'lipid metabolic process']","['GO:0004806', 'GO:0006629']"
206,420,['KOG2846'],['Predicted membrane protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
207,421,['KOG3138'],['Predicted N-acetyltransferase'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[5765, 5830]","['molecular_function', 'biological_process']","['N-acetyltransferase activity', 'metabolic process']","['GO:0008080', 'GO:0008152']"
208,422,['KOG0254'],['Predicted transporter (major facilitator superfamily)'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,,,,
209,423,['KOG0731'],['AAA+-type ATPase containing the peptidase M41 domain'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],['Metalloendopeptidases.'],['\\N'],['\\N'],['\\N'],['\\N'],['3.4.24.-'],['\\N'],"[2658, 3736, 4639, 162, 10269, 9320, 13056, 5939, 9321, 2679, 5813, 5987, 13282]","['molecular_function', 'molecular_function', 'biological_process', 'molecular_function', 'molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'cellular_component', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['metalloendopeptidase activity', 'ATP binding', 'proteolysis', 'nucleotide binding', 'nucleoside-triphosphatase activity', 'membrane', 'protein catabolic process', 'zinc ion binding', 'integral to membrane', 'stromelysin 3 activity', 'collagenase activity', 'prenyl protein specific endopeptidase activity', 'matrilysin-2 activity']","['GO:0004222', 'GO:0005524', 'GO:0006508', 'GO:0000166', 'GO:0017111', 'GO:0016020', 'GO:0030163', 'GO:0008270', 'GO:0016021', 'GO:0004249', 'GO:0008133', 'GO:0008319', 'GO:0030402']"
210,424,,,,,,,,,,,,"[2196, 3838, 4504, 5939, 2176, 4499]","['molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'molecular_function', 'biological_process']","['transcription factor activity', 'nucleus', 'regulation of transcription, DNA-dependent', 'zinc ion binding', 'DNA binding', 'transcription']","['GO:0003700', 'GO:0005634', 'GO:0006355', 'GO:0008270', 'GO:0003677', 'GO:0006350']"
211,425,['KOG0749'],['Mitochondrial ADP/ATP carrier proteins'],['Energy production and conversion '],['METABOLISM'],,,,,,,,,,,
212,429,['KOG3320'],['40S ribosomal protein S7'],"['Translation, ribosomal structure and biogenesis ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[2227, 3827, 4025, 4556]","['molecular_function', 'cellular_component', 'cellular_component', 'biological_process']","['structural constituent of ribosome', 'intracellular', 'ribosome', 'translation']","['GO:0003735', 'GO:0005622', 'GO:0005840', 'GO:0006412']"
213,431,['KOG3521'],['Predicted guanine nucleotide exchange factor'],['Signal transduction mechanisms '],['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[3425, 3827, 17205]","['molecular_function', 'cellular_component', 'biological_process']","['Rho guanyl-nucleotide exchange factor activity', 'intracellular', 'regulation of Rho protein signal transduction']","['GO:0005089', 'GO:0005622', 'GO:0035023']"
214,432,['KOG4759'],['Ribosome recycling factor'],"['Translation, ribosomal structure and biogenesis ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,,,,
215,433,['KOG1724'],"['SCF ubiquitin ligase, Skp1 component']","['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[4642, 3727]","['biological_process', 'molecular_function']","['ubiquitin-dependent protein catabolic process', 'protein binding']","['GO:0006511', 'GO:0005515']"
216,436,['KOG4438'],['Centromere-associated protein NUF2'],"['Cell cycle control, cell division, chromosome partitioning ']",['METABOLISM'],,,,,,,,"[576, 5160]","['cellular_component', 'biological_process']","['chromosome, pericentric region', 'mitosis']","['GO:0000775', 'GO:0007067']"
217,439,,,,,,,,,,,,"[2175, 2914]","['molecular_function', 'molecular_function']","['nucleic acid binding', 'ribonuclease H activity']","['GO:0003676', 'GO:0004523']"
218,442,,,,,"['Glucan 1,3-beta-glucosidase.']","['Successive hydrolysis of beta-D-glucose units from the non-reducing ends of 1,3-beta-D-glucans, releasing alpha-glucose.']",['Starch and sucrose metabolism'],['Metabolism of Complex Carbohydrates'],['METABOLIC'],['3.2.1.58'],['\\N'],[2744],['molecular_function'],"['glucan 1,3-beta-glucosidase activity']",['GO:0004338']
219,443,['KOG0240'],['Kinesin (SMY1 subfamily)'],['Cytoskeleton '],['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[2244, 3736, 4051, 5113]","['molecular_function', 'molecular_function', 'cellular_component', 'biological_process']","['microtubule motor activity', 'ATP binding', 'microtubule associated complex', 'microtubule-based movement']","['GO:0003777', 'GO:0005524', 'GO:0005875', 'GO:0007018']"
220,445,['KOG2909'],"['Vacuolar H+-ATPase V1 sector, subunit C']",['Energy production and conversion '],['METABOLISM'],,,,,,,,"[3736, 9691, 10015]","['molecular_function', 'cellular_component', 'molecular_function']","['ATP binding', 'proton-transporting two-sector ATPase complex', 'hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances']","['GO:0005524', 'GO:0016469', 'GO:0016820']"
221,446,['KOG0329'],['ATP-dependent RNA helicase'],['RNA processing and modification  '],['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[2175, 2792, 3736, 5716]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['nucleic acid binding', 'helicase activity', 'ATP binding', 'ATP-dependent helicase activity']","['GO:0003676', 'GO:0004386', 'GO:0005524', 'GO:0008026']"
222,452,['KOG1230'],['Protein containing repeated kelch motifs'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,,,,
223,453,['KOG0055'],"['Multidrug/pheromone exporter, ABC superfamily']","['Secondary metabolites biosynthesis, transport and catabolism ']",['METABOLISM'],['Xenobiotic-transporting ATPase.'],['ATP + H(2)O + xenobiotic(In) = ADP + phosphate + xenobiotic(Out).'],['\\N'],['\\N'],['\\N'],['3.6.3.44'],['\\N'],"[3736, 10082, 162, 10269, 4927, 9321, 18135, 6209]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'biological_process', 'cellular_component', 'molecular_function', 'molecular_function']","['ATP binding', 'ATPase activity', 'nucleotide binding', 'nucleoside-triphosphatase activity', 'transport', 'integral to membrane', 'ATPase activity, coupled to transmembrane movement of substances', 'xenobiotic-transporting ATPase activity']","['GO:0005524', 'GO:0016887', 'GO:0000166', 'GO:0017111', 'GO:0006810', 'GO:0016021', 'GO:0042626', 'GO:0008559']"
224,454,,,,,,,,,,,,[5939],['molecular_function'],['zinc ion binding'],['GO:0008270']
225,455,['KOG0987'],['DNA helicase PIF1/RRM3'],"['Cell cycle control, cell division, chromosome partitioning ']",['METABOLISM'],,,,,,,,,,,
226,462,['KOG0255'],['Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily)'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,,,,
227,472,,,,,,,,,,,,[3727],['molecular_function'],['protein binding'],['GO:0005515']
228,474,['KOG1075'],['FOG: Reverse transcriptase'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[2216, 2417, 4437]","['molecular_function', 'molecular_function', 'biological_process']","['RNA binding', 'RNA-directed DNA polymerase activity', 'RNA-dependent DNA replication']","['GO:0003723', 'GO:0003964', 'GO:0006278']"
229,475,['KOG3467'],['Histone H4'],['Chromatin structure and dynamics '],['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[587, 2176, 3838, 4484]","['cellular_component', 'molecular_function', 'cellular_component', 'biological_process']","['nucleosome', 'DNA binding', 'nucleus', 'nucleosome assembly']","['GO:0000786', 'GO:0003677', 'GO:0005634', 'GO:0006334']"
230,476,['KOG1208'],['Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)'],"['Secondary metabolites biosynthesis, transport and catabolism ']",['METABOLISM'],['Protochlorophyllide reductase.'],['Chlorophyllide A + NADP(+) = protochlorophyllide + NADPH.'],['Porphyrin and chlorophyll metabolism'],['Metabolism of Cofactors and Vitamins'],['METABOLIC'],['1.3.1.33'],['\\N'],"[5830, 9710, 9837]","['biological_process', 'molecular_function', 'molecular_function']","['metabolic process', 'oxidoreductase activity', 'protochlorophyllide reductase activity']","['GO:0008152', 'GO:0016491', 'GO:0016630']"
231,478,['KOG0947'],"['Cytoplasmic exosomal RNA helicase SKI2, DEAD-box superfamily']",['RNA processing and modification  '],['INFORMATION STORAGE AND PROCESSING'],['Acting on acid anhydrides; involved in cellular and'],['\\N'],['\\N'],['\\N'],['\\N'],['3.6.4.-'],['\\N'],"[2175, 2792, 3736, 5716, 10013]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['nucleic acid binding', 'helicase activity', 'ATP binding', 'ATP-dependent helicase activity', 'hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides']","['GO:0003676', 'GO:0004386', 'GO:0005524', 'GO:0008026', 'GO:0016818']"
