
                                              MFCS/win                    Report printed:                2025-02-06 12:51:58
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_30_control                Batch created:            2025-01-14 10:12:06

 Experiment Start:          2025-01-14 10:12:06                 Experiment Stop:          2025-01-17 10:11:02

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  PO2_A
                                                    %Sat
  Data
                                                      Value


 Date    /  Time                Age

14-01-2025 10:12:06             0.000                  82.6

14-01-2025 10:12:21             0.004                  81.9
14-01-2025 10:12:36             0.008                  81.2
14-01-2025 10:12:51             0.013                  71.4

14-01-2025 10:13:06             0.017                  65.6
14-01-2025 10:13:21             0.021                  64.1
14-01-2025 10:13:36             0.025                  60.8

14-01-2025 10:13:51             0.029                  59.1
14-01-2025 10:14:36             0.042                  59.3

14-01-2025 10:14:51             0.046                  60.2
14-01-2025 10:15:06             0.050                  61.1
14-01-2025 10:15:21             0.054                  62.5

14-01-2025 10:15:36             0.058                  63.7
14-01-2025 10:15:51             0.063                  65.1

14-01-2025 10:16:06             0.067                  66.5
14-01-2025 10:16:21             0.071                  67.5
14-01-2025 10:16:36             0.075                  68.4

14-01-2025 10:16:51             0.079                  69.2
14-01-2025 10:17:06             0.083                  70.2

14-01-2025 10:17:21             0.088                  71.2
14-01-2025 10:17:36             0.092                  71.9
14-01-2025 10:17:51             0.096                  72.6

14-01-2025 10:18:36             0.108                  73.6
14-01-2025 10:18:51             0.113                  73.9
14-01-2025 10:19:52             0.129                  74.7

14-01-2025 10:20:07             0.134                  75.1
14-01-2025 10:21:22             0.154                  74.3

14-01-2025 10:21:37             0.159                  74.0
14-01-2025 10:23:37             0.192                  75.0
14-01-2025 10:23:52             0.196                  75.3

14-01-2025 10:26:37             0.242                  76.3
14-01-2025 10:26:52             0.246                  76.3

14-01-2025 10:42:06             0.500                  75.9
14-01-2025 10:49:38             0.626                  75.0
14-01-2025 10:49:53             0.630                  74.9

14-01-2025 10:56:38             0.742                  73.9


14-01-2025 10:56:53             0.746                  73.9
14-01-2025 11:02:08             0.834                  72.9

14-01-2025 11:02:23             0.838                  72.9
14-01-2025 11:07:38             0.926                  71.9
14-01-2025 11:07:53             0.930                  71.9

14-01-2025 11:11:53             0.996                  70.9
14-01-2025 11:12:06             1.000                  70.9

14-01-2025 11:16:38             1.076                  69.9
14-01-2025 11:16:53             1.080                  69.8
14-01-2025 11:22:38             1.176                  68.9

14-01-2025 11:22:53             1.180                  68.8
14-01-2025 11:27:53             1.263                  67.8

14-01-2025 11:28:08             1.267                  67.8
14-01-2025 11:32:38             1.342                  66.8
14-01-2025 11:32:53             1.346                  66.7

