
                                              MFCS/win                    Report printed:                2024-11-03 12:55:25
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat22_oscillate                 Batch created:            2024-10-30 16:47:12

 Experiment Start:          2024-10-30 16:47:12                 Experiment Stop:          2024-11-03 12:10:38

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  EXT_F
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

30-10-2024 16:47:13             0.000                  6.3

30-10-2024 17:17:13             0.500                  6.1
30-10-2024 17:47:13             1.000                  6.1
30-10-2024 18:17:13             1.500                  6.1

30-10-2024 18:47:13             2.000                  6.1
30-10-2024 19:17:13             2.500                  6.1
30-10-2024 19:47:13             3.000                  6.0

30-10-2024 20:17:13             3.500                  6.0
30-10-2024 20:47:13             4.000                  6.0

30-10-2024 21:17:13             4.500                  5.9
30-10-2024 21:47:13             5.000                  5.9
30-10-2024 22:17:13             5.500                  5.8

30-10-2024 22:47:13             6.000                  5.4
30-10-2024 23:17:13             6.500                  5.5

30-10-2024 23:47:13             7.000                  5.5
31-10-2024 00:17:13             7.500                  5.5
31-10-2024 00:47:13             8.000                  5.4

31-10-2024 01:17:13             8.500                  5.5
31-10-2024 01:47:13             9.000                  5.4

31-10-2024 02:17:13             9.500                  5.5
31-10-2024 02:47:13            10.000                  5.5
31-10-2024 03:17:13            10.500                  5.5

31-10-2024 03:47:13            11.000                  5.5
31-10-2024 04:17:13            11.500                  5.4
31-10-2024 04:47:13            12.000                  5.4

31-10-2024 05:17:13            12.500                  5.4
31-10-2024 05:47:13            13.000                  5.5

31-10-2024 06:17:13            13.500                  5.4
31-10-2024 06:47:13            14.000                  5.5
31-10-2024 07:17:13            14.500                  5.5

31-10-2024 07:47:13            15.000                  5.5
31-10-2024 08:17:13            15.500                  5.5

31-10-2024 08:47:13            16.000                  5.5
31-10-2024 09:17:13            16.500                  5.9
31-10-2024 09:47:13            17.000                  5.7

31-10-2024 10:17:13            17.500                  5.7


31-10-2024 10:47:13            18.000                  5.7
31-10-2024 11:17:13            18.500                  5.6

31-10-2024 11:47:13            19.000                  5.6
31-10-2024 12:17:13            19.500                  5.6
31-10-2024 12:47:13            20.000                  5.6

31-10-2024 13:17:13            20.500                  5.5
31-10-2024 13:47:13            21.000                  5.5

31-10-2024 14:17:13            21.500                  5.4
31-10-2024 14:47:13            22.000                  5.4
31-10-2024 15:17:13            22.500                  5.3

31-10-2024 15:47:13            23.000                  5.3
31-10-2024 16:17:13            23.500                  5.2

31-10-2024 16:47:13            24.000                  5.1
31-10-2024 17:17:13            24.500                  5.1
31-10-2024 17:47:13            25.000                  5.1

