,Dir_3,Dir_2,Dir_1,Total Cells,Total Cells,Total Specific Cells,Total Specific Cells,Total Area,Total Area,Average Area,Average Area,Average Aspect Ratio,Average Aspect Ratio
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
0,Biostat2L_22,Biostat22_microscope,seed,476.125,297.2889107056828,189.25,127.18125423414973,29272.625,19403.260447206878,147.13805536292492,33.34386076410471,1.3554664820080728,0.010944801664747792
1,R01,2024_1031,1245pm,997.8571428571429,361.32276825179844,218.28571428571428,81.62865976627386,12693.714285714286,4862.4375819228,57.513145462251124,15.015671023856097,1.4156978169317609,0.017802309519742307
2,R01,2024_1031,6pm,1629.8333333333333,297.53884900406985,586.3333333333334,126.80641413850746,114884.66666666667,23913.888171241968,197.02852072923852,18.32438961179026,1.3885275024692634,0.00911428741487276
3,R01,2024_1031,845am,657.5714285714286,341.5512929477588,169.85714285714286,71.77146269334949,38081.57142857143,18253.651843372263,228.80898398158212,49.48832877701843,1.3918502322096133,0.011285276107513814
4,R01,2024_1101,345pm,254.57142857142858,89.40331303118683,43.285714285714285,24.47934017162422,1612.5714285714287,1016.2466657826169,36.320403766249584,4.820136496401706,1.3856728893494754,0.034862344179915905
5,R01,2024_1101,730am,1668.875,267.09893164465166,445.875,108.33735340526434,43793.875,15635.385466832231,103.34442115775825,49.507333512888465,1.3843094823684847,0.00892579859303305
6,R01,2024_1102,515pm,574.1666666666666,326.70991210348467,114.83333333333333,78.38218334970433,4507.5,3114.601467282773,38.786281708443546,2.648343919938645,1.4043986390963887,0.05113465808295626
7,R01,2024_1102,745am,770.0,77.16432681837723,150.85714285714286,24.525011528563866,6465.428571428572,1627.4682646309736,42.44889915874878,5.186268780376707,1.3750002847143163,0.013517416486014953
8,R01,2024_1103,1230pm_daylightSavings,444.14285714285717,53.89009980639169,78.71428571428571,26.681543469311553,3043.5714285714284,935.783959601584,38.979759354860654,2.5592326918342465,1.3845847403144997,0.034044498538001934
9,R02,2024_1031,845,54.666666666666664,12.737739202856996,14.777777777777779,6.057593948462083,2666.0,1596.6543927851137,168.64519864476006,51.37640932584327,1.3967544312674829,0.04287354473809968
10,R02,2024_1031,1245,574.4285714285714,167.92444446124884,71.14285714285714,21.85122858047553,6381.142857142857,3198.7801022979284,85.35026998091514,29.359907678764777,1.395594276967047,0.030807013126328713
11,R02,2024_1031,6pm,845.8333333333334,574.2105595220856,120.0,75.11058513951279,32678.5,22339.653110556574,253.92057164033682,62.09239937138854,1.3969721730267775,0.011807728682882847
12,R02,2024_1101,345pm,492.1666666666667,102.8968739402061,100.0,16.186414056238643,4086.1666666666665,578.1859274201221,41.23144395051872,4.401536721051651,1.3860326584265106,0.01683599597771211
13,R02,2024_1101,730am,966.8571428571429,385.2356112698775,360.85714285714283,127.31513208233677,65181.0,34287.78827804441,171.15685337204462,39.37275801514715,1.316079091714913,0.024130549890524947
14,R02,2024_1102,515pm,526.3333333333334,175.10644381822922,77.5,28.78714991102801,4579.333333333333,1353.1763619967157,60.60016548556961,6.320014393162156,1.3957863568656217,0.031217188859976996
15,R02,2024_1102,745am,330.85714285714283,146.7701474771903,71.57142857142857,31.72726032324644,3585.0,1403.392318633674,51.06624163066557,5.680532833618293,1.3917503815321528,0.01881575420110114
16,R02,2024_1103,1230pm_daylightSavings,333.0,71.83313998427187,80.28571428571429,17.20188251049175,4545.571428571428,1059.0213811412334,56.9462996821361,6.6471199824993175,1.3686671647942708,0.022850821424740916
