
                                              MFCS/win                    Report printed:                2024-11-16 12:28:13
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_24                        Batch created:            2024-11-12 12:55:37

 Experiment Start:          2024-11-12 12:55:38                 Experiment Stop:          2024-11-16 12:27:00

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 BASESUB
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

12-11-2024 12:55:38             0.000                   0

12-11-2024 13:25:38             0.500                   0
12-11-2024 13:55:38             1.000                   0
12-11-2024 14:25:38             1.500                   0

12-11-2024 14:55:38             2.000                   0
12-11-2024 15:25:38             2.500                   0
12-11-2024 15:55:38             3.000                   0

12-11-2024 16:25:38             3.500                   0
12-11-2024 16:55:38             4.000                   0

12-11-2024 17:02:03             4.107                   0
12-11-2024 17:02:19             4.111   179769313486232000000000000000000   INVAL/OFF
12-11-2024 17:03:30             4.131                   0

12-11-2024 17:33:15             4.627                   0
12-11-2024 18:03:15             5.127                   0

12-11-2024 18:33:15             5.627                   0
12-11-2024 19:03:15             6.127                   .7
12-11-2024 19:33:15             6.627                   .2

12-11-2024 20:03:15             7.127                   0
12-11-2024 20:15:33             7.332                   .9

12-11-2024 20:15:48             7.336                  1.1
12-11-2024 20:16:03             7.340                   0
12-11-2024 20:19:18             7.394                  1.0

12-11-2024 20:19:33             7.399                  1.2
12-11-2024 20:20:18             7.411                  1.9
12-11-2024 20:20:33             7.415                  2.2

12-11-2024 20:20:48             7.419                  2.5
12-11-2024 20:21:03             7.424                   0

12-11-2024 20:33:15             7.627                   0
12-11-2024 20:45:34             7.832                   .8
12-11-2024 20:45:49             7.836                  1.0

12-11-2024 20:46:04             7.841                  1.3
12-11-2024 20:46:19             7.845                   0

12-11-2024 20:50:49             7.920                   .9
12-11-2024 20:51:04             7.924                  1.1
12-11-2024 20:51:49             7.936                  1.9

12-11-2024 20:52:04             7.941                   0


12-11-2024 20:53:34             7.966                   .9
12-11-2024 20:53:49             7.970                  1.1

12-11-2024 20:54:34             7.982                  1.7
12-11-2024 20:54:49             7.986                   0
12-11-2024 21:00:19             8.078                   .8

12-11-2024 21:00:34             8.082                  1.1
12-11-2024 21:00:49             8.086                   0

12-11-2024 21:03:15             8.127                   0
12-11-2024 21:16:04             8.341                   .9
12-11-2024 21:16:19             8.345                  1.2

12-11-2024 21:16:34             8.349                   0
12-11-2024 21:33:15             8.627                   .7

12-11-2024 22:03:15             9.127                   0
12-11-2024 22:22:36             9.449                   .8
12-11-2024 22:22:51             9.454                  1.1

12-11-2024 22:23:06             9.458                   0
12-11-2024 22:33:15             9.627                   .6
