
                                              MFCS/win                    Report printed:                2024-12-10 09:24:03
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT26_BDCU_1_lowO2              Batch created:            2024-11-27 12:32:03

 Experiment Start:          2024-11-27 12:32:03                 Experiment Stop:          2024-12-01 10:06:08

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 BASESUB
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

27-11-2024 12:32:04             0.000                   0

27-11-2024 13:02:04             0.500                   0
27-11-2024 13:32:04             1.000                   0
27-11-2024 14:02:04             1.500                   0

27-11-2024 14:32:04             2.000                   0
27-11-2024 15:02:04             2.500                   0
27-11-2024 15:32:04             3.000                   0

27-11-2024 16:02:04             3.500                   0
27-11-2024 16:32:04             4.000                   0

27-11-2024 17:02:04             4.500                   0
27-11-2024 17:32:04             5.000                   0
27-11-2024 18:02:04             5.500                   0

27-11-2024 18:32:04             6.000                   0
27-11-2024 19:02:04             6.500                   0

27-11-2024 19:30:29             6.974                   .9
27-11-2024 19:30:44             6.978                  1.0
27-11-2024 19:31:59             6.999                  2.0

27-11-2024 19:32:04             7.000                  2.1
27-11-2024 19:32:59             7.016                  3.0

27-11-2024 19:33:14             7.020                  3.2
27-11-2024 19:33:59             7.032                  4.1
27-11-2024 19:34:14             7.036                  4.5

27-11-2024 19:34:44             7.045                  5.1
27-11-2024 19:34:59             7.049                  5.5
27-11-2024 19:35:29             7.057                  6.2

27-11-2024 19:35:44             7.061                  6.6
27-11-2024 19:36:14             7.070                  7.5

27-11-2024 19:36:29             7.074                  7.9
27-11-2024 19:36:59             7.082                  8.8
27-11-2024 19:37:14             7.086                   0

27-11-2024 20:02:04             7.500                   0
27-11-2024 20:32:04             8.000                   0

27-11-2024 21:02:04             8.500                   .4
27-11-2024 21:32:04             9.000                   0
27-11-2024 22:02:04             9.500                   0

27-11-2024 22:32:04            10.000                   .2


27-11-2024 23:02:04            10.500                   0
27-11-2024 23:32:04            11.000                   0

28-11-2024 00:02:04            11.500                   .4
28-11-2024 00:32:04            12.000                   0
28-11-2024 01:02:04            12.500                   0

28-11-2024 01:32:04            13.000                   0
28-11-2024 02:02:04            13.500                   0

28-11-2024 02:32:04            14.000                   0
28-11-2024 02:35:56            14.065                   .9
28-11-2024 02:36:11            14.069                  1.0

28-11-2024 02:37:11            14.086                  1.8
28-11-2024 02:37:26            14.090                   0

28-11-2024 03:02:04            14.500                   0
28-11-2024 03:32:04            15.000                   0
28-11-2024 04:02:04            15.500                   0

28-11-2024 04:32:04            16.000                   0
28-11-2024 05:02:04            16.500                   0
