Metabolite name	PPI_Ylip_Ctrl_5hr_35	PPI_Ylip_Low_48hr_53	PPI_Ylip_Ctrl_5hr_11	PPI_Ylip_Ctrl_24hr_37	PPI_Ylip_Low_48hr_47	PPI_Ylip_Osc_72hr_06	PPI_Ylip_Low_72hr_54	PPI_Ylip_Low_4hr_34	PPI_Ylip_Osc_47hr_05	PPI_Ylip_Ctrl_4hr_09	PPI_Ylip_Low_4hr_50	PPI_Ylip_Low_24hr_52	PPI_Ylip_Osc_72hr_30	PPI_Ylip_Ctrl_48hr_39	PPI_Ylip_Ctrl_4hr_33	PPI_Ylip_Ctrl_72hr_29	PPI_Ylip_Low_72hr_48	PPI_Ylip_Osc_72hr_18	PPI_Ylip_Low_72hr_42	PPI_Ylip_Low_5hr_36	PPI_Ylip_Osc_3hr_20	PPI_Ylip_Ctrl_72hr_17	PPI_Ylip_Low_48hr_40	PPI_Ylip_Low_5hr_45	PPI_Ylip_Osc_4hr_10	PPI_Ylip_Low_24hr_38	PPI_Ylip_Ctrl_48hr_27	PPI_Ylip_Osc_4hr_02	PPI_Ylip_Osc_3hr_08	PPI_Ylip_Ctrl_3hr_07	PPI_Ylip_Osc_5hr_24	PPI_Ylip_Osc_3hr_01	PPI_Ylip_Ctrl_4hr_21	PPI_Ylip_Low_3hr_32	PPI_Ylip_Osc_24hr_14	PPI_Ylip_Low_3hr_43	PPI_Ylip_Ctrl_24hr_13	PPI_Ylip_Osc_4hr_22	PPI_Ylip_Low_5hr_51	PPI_Ylip_Ctrl_48hr_15	PPI_Ylip_Low_24hr_46	PPI_Ylip_Osc_24hr_26	PPI_Ylip_Osc_48hr_16	PPI_Ylip_Osc_5hr_12	PPI_Ylip_Low_3hr_49	PPI_Ylip_Osc_48hr_28	PPI_Ylip_Ctrl_24hr_25	PPI_Ylip_Osc_24hr_04	PPI_Ylip_Ctrl_3hr_19	PPI_Ylip_Ctrl_5hr_23	PPI_Ylip_Ctrl_72hr_41	PPI_Ylip_Ctrl_3hr_31	PPI_Ylip_Osc_5hr_03	PPI_Ylip_Low_4hr_44
4-Methylpyrimidine_HP	23.53176123	22.29286903	23.68755255	24.82892195	22.06111766	23.05043441	21.87105793	23.11787907	24.19816938	22.57068056	21.849274	22.298473	23.40012193	24.95396211	24.30689355	24.86723318	21.85193759	24.00967672	22.00898691	23.09656599	22.47718489	24.83806892	25.54187419	20.95167977	25.4009914	23.26763698	24.77572428	25.53682309	24.63532303	23.34697732	22.4858671	22.39015828	24.36241939	23.4975075	23.37242272	21.89977243	24.68072667	24.76908703	22.47316611	22.9755027	21.44548396	23.46093985	23.21203765	22.49650181	21.79758633	22.41507489	23.11028759	23.93163208	22.39555109	24.99743719	24.96181806	24.30936848	23.11217868	21.80892867
4-Piperidinecarboxamide_HP	22.9135167	23.04879791	22.44762566	25.25794554	25.22177024	22.85263524	23.2109823	22.68305605	25.61332033	23.19363697	23.66150322	23.21400361	22.92611508	25.68448689	25.48644375	25.968587	23.32347909	25.0669537	23.36732158	22.64470304	22.00417428	26.31173321	24.28144752	23.1410981	24.69924106	22.69446819	25.89455472	24.26397686	26.28212316	22.66192172	22.73331842	22.89633482	23.04788935	22.72044017	23.30892004	23.11464938	26.02137082	26.36638347	23.80217294	23.27758276	23.21526965	23.79558085	23.63165638	22.72730587	23.40210097	22.595365	22.62440161	22.93218379	23.13134502	26.25845812	25.61601943	25.17129371	22.89819316	23.22174109
5-HYDROXYINDOLEACETATE_HP	20.6398936	21.47036011	21.74129064	19.55925707	20.38806125	22.83474065	21.0965179	21.12219585	21.7009299	20.76004711	22.15221796	22.96394742	21.55080821	20.28402988	18.69836771	19.89230512	22.0238741	22.0868334	22.23336526	20.91603071	20.64383284	19.79216875	20.22672639	20.84938294	21.59848557	21.2945178	19.88862046	21.23711131	19.79070192	21.81778402	21.75920446	21.57363522	20.83306867	20.93183832	23.07745967	21.89603709	19.49023133	19.75110321	22.09686499	20.97852851	20.54052886	20.82708411	20.66414177	21.99062165	23.56936367	20.30692932	21.09781433	23.66250522	21.44559171	19.79481355	19.35525941	22.05091853	21.71454895	23.08031876
5-OXO-L-PROLINE_HP	26.20005746	25.95306642	26.23417594	26.06761077	26.62870768	25.04947035	27.54302661	25.57425123	25.37571043	25.87851619	27.07244151	27.55791493	26.17576304	26.24028712	25.81687698	26.27853527	26.12138583	26.29829025	26.4732879	26.6631456	26.03957186	26.1436655	25.80891187	26.53601493	25.82736196	25.44396656	26.27237791	25.04772315	25.20329529	25.62332857	26.34568682	25.13918666	26.12241089	26.29424701	25.2836939	26.64317509	25.47345679	26.3198137	27.73073881	26.18534808	26.88395687	25.66787549	25.56466472	24.56618103	26.40282378	25.62807724	25.26806011	24.676177	26.24269192	26.39062128	26.33593464	26.55123988	25.30212202	26.92154822
5'-S-methyl-5'-thioadenosine_HP	30.0585077	29.01533587	31.28550705	29.82267836	30.28795042	29.24056069	28.57688244	28.26657746	29.23615628	29.15761229	30.14291063	28.74107215	28.65409724	29.80798679	30.03557404	29.93892598	29.55633632	28.9989028	29.51845925	29.51340452	28.62345782	29.87365468	31.24362939	28.93625477	30.07733121	28.36111049	29.981628	31.24771183	29.64979756	28.20474129	29.94128217	29.94001306	30.28040381	28.92681849	29.850112	30.11866592	29.83988015	29.88126446	30.83911899	29.29892474	29.10107665	30.09321562	29.99386363	28.835137	28.52443518	28.58801426	28.53270251	29.22387308	28.70175046	29.90350856	30.31175919	28.92339084	28.70876937	28.53920177
Acetaminophen_HP	22.76098827	20.66592467	23.42168143	22.29374571	19.61115549	22.99618786	21.79330419	23.19169929	22.54192834	23.96546391	19.30359891	21.20522288	23.49851105	21.79659277	22.2578299	22.60925152	20.72438786	21.7736524	20.20242877	23.44723828	23.15221895	22.69707417	24.3924799	21.09140734	23.95267161	23.31431067	23.37957031	24.17135541	22.87160651	23.35871923	23.25399303	24.26247281	22.64705126	23.26642572	23.19798849	20.2173233	21.31795417	22.68862386	19.57291965	23.45630998	20.6697384	21.99290443	21.69349647	23.35589204	21.16012269	23.90623373	23.34342554	24.02654641	23.17733414	22.80793775	22.80824177	21.9557206	24.29165228	20.97253506
Acetylcarnitine_HP	29.34405902	28.69356724	28.15681629	30.10010575	30.27744245	28.40354327	29.438244	28.51547696	29.41180656	28.83235185	27.61906011	28.69092494	28.60301967	30.58211424	29.83823242	30.37784722	28.62640984	29.36601816	29.11509598	28.46845814	29.00059884	30.1137133	27.78314261	29.00880263	28.09975014	28.53417083	30.18789626	28.22978236	30.53634396	28.4140171	28.67502305	28.2551425	28.19955441	28.67309199	29.00201195	28.89756784	30.54710562	30.12625108	28.30416599	28.40219876	29.22626523	29.09430222	28.98470377	28.48074179	27.87811384	28.60476554	29.07477392	28.31114178	28.62884043	31.08940372	30.53093329	29.36906077	29.17746169	28.58869211
Adenine_HP	26.16514278	25.14805402	27.37225831	26.22839395	26.35132451	26.47877829	24.89148907	24.89858111	25.43496777	25.30325122	26.26761133	24.87558716	25.10020902	26.01668155	26.06417432	26.036623	25.77282046	25.2118466	25.61268053	25.92034127	25.66648083	26.00493527	27.28679968	25.11590126	26.15438032	25.60037725	26.0236957	27.13225287	25.84895666	25.64694861	26.18557271	26.10056238	26.33479874	25.33054905	26.03434345	26.19177832	25.82697951	26.04041486	26.81659564	25.59120733	25.32804335	26.25402977	26.12965263	24.96201584	24.8148393	24.8517017	24.97447485	24.72753804	25.79703878	26.02114409	26.39389529	25.22882473	25.15124798	24.81652185
Alanine_HP	23.88596786	22.63365532	22.63934736	24.63229865	22.62439705	23.44109346	23.73089977	23.24256047	23.43270471	23.16805124	23.97137249	22.55203701	23.57201416	24.63630925	24.84696495	23.29602466	21.71783089	23.52598102	21.60500389	23.66966256	24.47424343	24.73817984	24.43983139	21.88909411	24.40690507	23.44065981	24.06425221	25.42550209	25.45738199	24.29791295	22.98949534	21.74548071	24.91463312	23.62572222	21.91162727	23.27089479	24.19700052	22.99771659	23.83900918	24.21364866	22.11521889	24.72198552	24.08732737	20.74043857	21.76047161	22.37185779	24.3950269	22.76855369	23.64299558	23.37299202	24.47058226	24.03139541	22.74015512	22.86230032
Alanine betaine; CE10; CJKONRHMUGBAQI-UHFFFAOYSA-N_HP	22.34605859	25.21972316	24.15283833	24.27248828	18.38688203	26.00354423	24.74715351	25.23443331	24.18940243	25.51413921	21.78840494	26.12376937	25.57388195	22.74918259	21.93994405	23.05609566	18.80809371	23.75542155	25.30046428	25.26089546	24.48899876	23.86362433	23.38158813	24.57257955	22.96253672	25.65092185	23.80809928	24.15283868	22.70857504	26.04878051	26.00279652	26.33730747	22.70689802	25.87255947	26.37205696	21.85491745	22.69079497	24.33518008	21.48161434	26.13521979	24.82326229	23.84065676	23.91621115	26.05975904	25.69964775	25.23093943	25.08568071	26.53118537	26.35539647	23.22672911	22.80514675	23.72348184	25.94259513	25.19039444
Alanylleucine (isomer of 675)_HP	20.86839333	20.1443914	22.56649586	20.07829754	20.70142406	22.38791246	21.94880536	23.2142723	20.80519885	19.78027157	22.21140359	20.43702695	23.61204691	19.32947841	20.28348665	18.51869847	23.02619519	20.27209474	21.04082242	23.43991333	22.96316093	18.72494121	23.18857842	20.27881814	23.91446823	22.71931576	19.55480445	22.82048261	19.61890857	23.42985097	23.26701131	23.75096903	21.36974585	23.63194441	22.7289693	22.26424677	19.61604852	18.2573271	21.40395006	19.2938461	20.05138932	21.53257507	21.40229468	21.78225198	22.43674766	22.01201211	23.06838788	21.42610415	24.21539896	20.84851875	19.55956237	20.99338835	23.07948573	22.94401708
allantoin_HP	NA	24.24844358	NA	NA	24.13436027	NA	23.65649516	NA	NA	NA	21.38897065	25.49655027	14.14993864	NA	NA	NA	22.74553705	NA	25.6311028	NA	NA	NA	NA	23.90961722	NA	NA	NA	15.54340739	NA	NA	NA	17.06111266	NA	NA	NA	23.01841194	NA	NA	23.38724934	19.26389964	25.77448957	NA	NA	NA	24.45752109	14.22034925	NA	16.43686198	NA	NA	NA	NA	15.63913895	24.3924799
Allopurinol_HP	24.65154748	27.57474449	25.31508321	23.62568573	24.79394182	27.99356989	27.57860476	26.63254492	25.56276511	26.13036388	24.8430821	27.71904895	27.30386151	24.16898603	23.39177896	22.79889548	24.07280666	25.88030355	28.30893058	27.24610456	26.79097398	24.36767011	26.95175132	26.3334088	26.61228289	26.72274655	24.24595745	25.55791499	24.91771365	27.64548098	27.74378882	27.91132898	25.5228287	27.59709051	28.3936789	25.43799541	23.19043003	24.20791716	24.72719606	26.41846647	26.10018828	26.37111067	24.96121828	27.70216956	28.47749942	27.18833973	27.1040817	28.06943723	27.5647774	23.88708961	24.19785462	26.09078542	26.89135543	28.49931474
Allysine (not validated)_HP	24.60749889	24.41262945	25.1622221	26.21072958	25.8546556	24.43441375	25.05902311	25.58522173	25.9493931	25.45152159	25.43280867	23.25494811	24.81171056	26.15560103	25.85497868	26.20713103	25.37911212	25.75907382	23.97407544	26.09317035	25.35544108	25.53275589	25.81225588	23.97544232	26.58794816	25.09113526	25.27648314	26.17137365	25.73078657	25.14853099	26.21127575	23.54699872	26.60989569	25.09703189	24.65399375	24.97946157	26.49369176	24.65801867	24.38634474	26.16802362	24.38816693	25.93890446	25.65525021	25.4371908	23.99006436	26.3972182	25.84533441	25.3661904	24.59846918	24.96948987	25.95651659	26.02150113	24.79882221	24.25672459
ALPHA-AMINOADIPATE_HP	23.92254165	26.31047521	25.01809678	25.52733724	25.10294643	24.35809236	27.63342498	24.68542375	24.99685173	24.7906896	24.43859338	26.70991339	23.68732477	24.45762624	25.21487389	25.59219609	25.461711	24.37988176	27.23013773	26.52211991	25.66716418	25.15168592	23.10807894	24.70234776	23.81063141	25.04650969	24.70741855	24.37669519	24.58276709	26.40115887	25.37048464	26.3476422	24.80611472	24.50452452	25.27702906	26.18057126	25.71905674	24.45569401	23.61201428	26.08850843	27.06586484	24.03337485	23.55285684	26.97098083	26.27383827	27.14721271	25.28332962	27.61742623	23.15865943	24.90621623	24.50164766	24.30231117	25.69925032	25.61218661
