
                                              MFCS/win                    Report printed:                2025-03-03 12:31:14
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_35_highO2_r2              Batch created:            2025-02-26 14:24:44

 Experiment Start:          2025-02-26 14:24:44                 Experiment Stop:          2025-02-28 15:25:10

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  AFOAM

  Data
                                                      Value


 Date    /  Time                Age

26-02-2025 14:24:45             0.000   179769313486232000000000000000000   INVAL/OFF

26-02-2025 14:54:46             0.501   179769313486232000000000000000000   INVAL/OFF
26-02-2025 15:24:46             1.001   179769313486232000000000000000000   INVAL/OFF
26-02-2025 15:54:46             1.501   179769313486232000000000000000000   INVAL/OFF

26-02-2025 16:24:46             2.001   179769313486232000000000000000000   INVAL/OFF
26-02-2025 16:54:46             2.501   179769313486232000000000000000000   INVAL/OFF
26-02-2025 17:24:46             3.001   179769313486232000000000000000000   INVAL/OFF

26-02-2025 17:54:46             3.501   179769313486232000000000000000000   INVAL/OFF
26-02-2025 18:24:46             4.001   179769313486232000000000000000000   INVAL/OFF

26-02-2025 18:54:46             4.501   179769313486232000000000000000000   INVAL/OFF
26-02-2025 19:24:46             5.001   179769313486232000000000000000000   INVAL/OFF
26-02-2025 19:54:46             5.501   179769313486232000000000000000000   INVAL/OFF

26-02-2025 20:24:46             6.001   179769313486232000000000000000000   INVAL/OFF
26-02-2025 20:54:46             6.501   179769313486232000000000000000000   INVAL/OFF

26-02-2025 21:24:46             7.001   179769313486232000000000000000000   INVAL/OFF
26-02-2025 21:54:46             7.501   179769313486232000000000000000000   INVAL/OFF
26-02-2025 22:24:46             8.001   179769313486232000000000000000000   INVAL/OFF

26-02-2025 22:54:46             8.501   179769313486232000000000000000000   INVAL/OFF
26-02-2025 23:24:46             9.001   179769313486232000000000000000000   INVAL/OFF

26-02-2025 23:54:46             9.501   179769313486232000000000000000000   INVAL/OFF
27-02-2025 00:24:46            10.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 00:54:46            10.501   179769313486232000000000000000000   INVAL/OFF

27-02-2025 01:24:46            11.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 01:54:46            11.501   179769313486232000000000000000000   INVAL/OFF
27-02-2025 02:24:46            12.001   179769313486232000000000000000000   INVAL/OFF

27-02-2025 02:54:46            12.501   179769313486232000000000000000000   INVAL/OFF
27-02-2025 03:24:46            13.001   179769313486232000000000000000000   INVAL/OFF

27-02-2025 03:54:46            13.501   179769313486232000000000000000000   INVAL/OFF
27-02-2025 04:24:46            14.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 04:54:46            14.501   179769313486232000000000000000000   INVAL/OFF

27-02-2025 05:24:46            15.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 05:54:46            15.501   179769313486232000000000000000000   INVAL/OFF

27-02-2025 06:24:46            16.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 06:54:46            16.501   179769313486232000000000000000000   INVAL/OFF
27-02-2025 07:24:46            17.001   179769313486232000000000000000000   INVAL/OFF

27-02-2025 07:54:46            17.501   179769313486232000000000000000000   INVAL/OFF


27-02-2025 08:24:46            18.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 08:54:46            18.501   179769313486232000000000000000000   INVAL/OFF

27-02-2025 09:24:46            19.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 09:54:46            19.501   179769313486232000000000000000000   INVAL/OFF
27-02-2025 10:24:46            20.001   179769313486232000000000000000000   INVAL/OFF

27-02-2025 10:54:46            20.501   179769313486232000000000000000000   INVAL/OFF
27-02-2025 11:24:46            21.001   179769313486232000000000000000000   INVAL/OFF

27-02-2025 11:54:46            21.501   179769313486232000000000000000000   INVAL/OFF
27-02-2025 12:24:46            22.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 12:54:46            22.501   179769313486232000000000000000000   INVAL/OFF

27-02-2025 13:24:46            23.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 13:54:46            23.501   179769313486232000000000000000000   INVAL/OFF

27-02-2025 14:24:46            24.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 14:54:46            24.501   179769313486232000000000000000000   INVAL/OFF
27-02-2025 15:24:46            25.001   179769313486232000000000000000000   INVAL/OFF

27-02-2025 15:54:46            25.501   179769313486232000000000000000000   INVAL/OFF
27-02-2025 16:24:46            26.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 16:54:46            26.501   179769313486232000000000000000000   INVAL/OFF

27-02-2025 17:24:46            27.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 17:54:46            27.501   179769313486232000000000000000000   INVAL/OFF

27-02-2025 18:24:46            28.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 18:54:46            28.501   179769313486232000000000000000000   INVAL/OFF
27-02-2025 19:24:46            29.001   179769313486232000000000000000000   INVAL/OFF

27-02-2025 19:54:46            29.501   179769313486232000000000000000000   INVAL/OFF
27-02-2025 20:24:46            30.001   179769313486232000000000000000000   INVAL/OFF

27-02-2025 20:54:46            30.501   179769313486232000000000000000000   INVAL/OFF
27-02-2025 21:24:46            31.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 21:54:46            31.501   179769313486232000000000000000000   INVAL/OFF

27-02-2025 22:24:46            32.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 22:54:46            32.501   179769313486232000000000000000000   INVAL/OFF

27-02-2025 23:24:46            33.001   179769313486232000000000000000000   INVAL/OFF
27-02-2025 23:54:46            33.501   179769313486232000000000000000000   INVAL/OFF
28-02-2025 00:24:46            34.001   179769313486232000000000000000000   INVAL/OFF

28-02-2025 00:54:46            34.501   179769313486232000000000000000000   INVAL/OFF
28-02-2025 01:24:46            35.001   179769313486232000000000000000000   INVAL/OFF
28-02-2025 01:54:46            35.501   179769313486232000000000000000000   INVAL/OFF

28-02-2025 02:24:46            36.001   179769313486232000000000000000000   INVAL/OFF
28-02-2025 02:54:46            36.501   179769313486232000000000000000000   INVAL/OFF

28-02-2025 03:24:46            37.001   179769313486232000000000000000000   INVAL/OFF
28-02-2025 03:54:46            37.501   179769313486232000000000000000000   INVAL/OFF
28-02-2025 04:24:46            38.001   179769313486232000000000000000000   INVAL/OFF

28-02-2025 04:54:46            38.501   179769313486232000000000000000000   INVAL/OFF
28-02-2025 05:24:46            39.001   179769313486232000000000000000000   INVAL/OFF

28-02-2025 05:54:46            39.501   179769313486232000000000000000000   INVAL/OFF
28-02-2025 06:24:46            40.001   179769313486232000000000000000000   INVAL/OFF
28-02-2025 06:54:46            40.501   179769313486232000000000000000000   INVAL/OFF

28-02-2025 07:24:46            41.001   179769313486232000000000000000000   INVAL/OFF
28-02-2025 07:54:46            41.501   179769313486232000000000000000000   INVAL/OFF

28-02-2025 08:24:46            42.001   179769313486232000000000000000000   INVAL/OFF
28-02-2025 08:54:46            42.501   179769313486232000000000000000000   INVAL/OFF
28-02-2025 09:24:46            43.001   179769313486232000000000000000000   INVAL/OFF

28-02-2025 09:54:46            43.501   179769313486232000000000000000000   INVAL/OFF

28-02-2025 10:24:46            44.001   179769313486232000000000000000000   INVAL/OFF
28-02-2025 10:54:46            44.501   179769313486232000000000000000000   INVAL/OFF

28-02-2025 11:24:46            45.001   179769313486232000000000000000000   INVAL/OFF
28-02-2025 11:54:46            45.501   179769313486232000000000000000000   INVAL/OFF
28-02-2025 12:24:46            46.001   179769313486232000000000000000000   INVAL/OFF

28-02-2025 12:54:46            46.501   179769313486232000000000000000000   INVAL/OFF
28-02-2025 13:24:46            47.001   179769313486232000000000000000000   INVAL/OFF

28-02-2025 13:54:46            47.501   179769313486232000000000000000000   INVAL/OFF
28-02-2025 14:24:46            48.001   179769313486232000000000000000000   INVAL/OFF
28-02-2025 14:54:46            48.501   179769313486232000000000000000000   INVAL/OFF

