
                                              MFCS/win                    Report printed:                2024-12-10 09:24:40
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT26_BDCU_2                    Batch created:            2024-11-27 12:32:22

 Experiment Start:          2024-11-27 12:32:22                 Experiment Stop:          2024-12-01 10:06:13

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 BASESUB
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

27-11-2024 12:32:23             0.000                   0

27-11-2024 13:02:23             0.500                   0
27-11-2024 13:32:23             1.000                   0
27-11-2024 14:02:23             1.500                   0

27-11-2024 14:32:23             2.000                   0
27-11-2024 15:02:23             2.500                   0
27-11-2024 15:32:23             3.000                   0

27-11-2024 16:02:23             3.500                   0
27-11-2024 16:32:23             4.000                   0

27-11-2024 17:02:23             4.500                   0
27-11-2024 17:32:23             5.000                   0
27-11-2024 18:02:23             5.500                   0

27-11-2024 18:32:23             6.000                   0
27-11-2024 19:02:23             6.500                   0

27-11-2024 19:18:44             6.773                  1.0
27-11-2024 19:18:59             6.777                  1.2
27-11-2024 19:20:14             6.798                  2.1

27-11-2024 19:20:29             6.802                  2.3
27-11-2024 19:21:14             6.814                  3.1

27-11-2024 19:21:29             6.819                  3.4
27-11-2024 19:22:14             6.831                  4.3
27-11-2024 19:22:29             6.835                  4.6

27-11-2024 19:22:59             6.844                  5.3
27-11-2024 19:23:14             6.848                  5.7
27-11-2024 19:23:44             6.856                  6.4

27-11-2024 19:23:59             6.860                  6.9
27-11-2024 19:24:14             6.864                   0

27-11-2024 19:32:23             7.000                   .5
27-11-2024 20:02:23             7.500                   .1
27-11-2024 20:32:23             8.000                   0

27-11-2024 21:02:23             8.500                   .2
27-11-2024 21:32:23             9.000                   0

27-11-2024 22:02:23             9.500                   .3
27-11-2024 22:32:23            10.000                   .5
27-11-2024 23:02:23            10.500                   .1

27-11-2024 23:32:23            11.000                   0


28-11-2024 00:02:23            11.500                   0
28-11-2024 00:23:09            11.846                   .8

28-11-2024 00:23:24            11.851                  1.1
28-11-2024 00:23:39            11.855                   0
28-11-2024 00:32:23            12.000                   0

28-11-2024 01:02:23            12.500                   .6
28-11-2024 01:32:23            13.000                   .1

28-11-2024 02:02:23            13.500                   0
28-11-2024 02:32:23            14.000                   0
28-11-2024 03:02:23            14.500                   0

28-11-2024 03:32:23            15.000                   .7
28-11-2024 04:02:23            15.500                   .8

28-11-2024 04:32:23            16.000                   .6
28-11-2024 05:02:23            16.500                   .4
28-11-2024 05:17:15            16.748                  1.2

28-11-2024 05:17:30            16.752                  1.5
28-11-2024 05:17:45            16.756                   0
